dataset_key,seed,run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
spider,42,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,fb9b6ad475a52d22,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0001_fb9b6ad475a52d22.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_ce_anchor_binary_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,ad4d415077c5f30c,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0002_ad4d415077c5f30c.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,ffd228f3c2967ad9,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0003_ffd228f3c2967ad9.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_menon_logit_adjusted_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,55bf686a84a81cd7,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0004_55bf686a84a81cd7.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_weighted_ce_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,5,dry-run,ap_csada,ap_csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,2fc32467bab84911,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0005_2fc32467bab84911.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_ap_csada_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,15e9fdc35e904f29,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0006_15e9fdc35e904f29.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_csada_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,9647f061ae2e9a11,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0001_9647f061ae2e9a11.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_ce_anchor_binary_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,4fc210750e21a359,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0002_4fc210750e21a359.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,a8f68d975d7ca5e2,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0003_a8f68d975d7ca5e2.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_menon_logit_adjusted_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,35651fe46c78b7a3,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0004_35651fe46c78b7a3.json,,/home/zi/nicme_checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_weighted_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
