run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,dry-run,ce_anchor_pretty,ce_anchor_pretty,pretty_balanced,lr1e4,0.0001,0.0001,planned,853833368e2cf110,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0001_853833368e2cf110.json,,checkpoints/dry-run_ce_anchor_pretty_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
2,dry-run,nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,pretty_balanced,lr1e4,0.0001,0.0001,planned,c6aaf918ea220678,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0002_c6aaf918ea220678.json,,checkpoints/dry-run_nicme_v3_hybrid_pretty_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
3,dry-run,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,pretty_balanced,lr1e4,0.0001,0.0001,planned,33aec5939f344480,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0003_33aec5939f344480.json,,checkpoints/dry-run_nicme_v2_hybrid_pretty_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
4,dry-run,cost_weighted_ce,cost_weighted_ce,pretty_balanced,lr1e4,0.0001,0.0001,planned,1ac2edc10fb36d69,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0004_1ac2edc10fb36d69.json,,checkpoints/dry-run_cost_weighted_ce_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
5,dry-run,menon_logit_adjusted,menon_logit_adjusted,pretty_balanced,lr1e4,0.0001,0.0001,planned,5547750354d792b0,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0005_5547750354d792b0.json,,checkpoints/dry-run_menon_logit_adjusted_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
6,dry-run,balanced_softmax,balanced_softmax,pretty_balanced,lr1e4,0.0001,0.0001,planned,c77c76dbf9f81d6d,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0006_c77c76dbf9f81d6d.json,,checkpoints/dry-run_balanced_softmax_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
7,dry-run,class_balanced_focal,class_balanced_focal,pretty_balanced,lr1e4,0.0001,0.0001,planned,299a9fa8e263d472,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0007_299a9fa8e263d472.json,,checkpoints/dry-run_class_balanced_focal_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
8,dry-run,ldam_drw,ldam_drw,pretty_balanced,lr1e4,0.0001,0.0001,planned,9c319d192d41a632,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0008_9c319d192d41a632.json,,checkpoints/dry-run_ldam_drw_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
9,dry-run,ap_csada,ap_csada,pretty_balanced,lr1e4,1e-05,0.0001,planned,686edc24860d8c2a,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0009_686edc24860d8c2a.json,,checkpoints/dry-run_ap_csada_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
10,dry-run,sosr_cnn,sosr_cnn,pretty_balanced,lr1e4,1e-05,0.0001,planned,32a3ab2000cb2513,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0010_32a3ab2000cb2513.json,,checkpoints/dry-run_sosr_cnn_lr1e4_s42,sosr_argmin,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
11,dry-run,csada,csada,pretty_balanced,lr1e4,1e-05,0.0001,planned,ec8404c5380d7e15,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e4_20260503/dry-run/configs/0011_ec8404c5380d7e15.json,,checkpoints/dry-run_csada_lr1e4_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
