method,role,source,comparison_profile,lr_profile,learning_rate,parent_learning_rate,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,metric_path
ap_csada,ap_csada,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.90625,0.953125,0.015,0.15,0.95625,0.95625,0.9565235387806229,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ap_csada_lr1e5_s42_05-02_22-41/metrics_20260502_224144_ap_csada.json
nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.875,0.953125,0.013750000000000002,0.1375,0.96875,0.96875,0.9687809765371241,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_nicme_v3_hybrid_pretty_lr1e5_s42_05-02_22-10/metrics_20260502_221023_nicme_v3_hybrid.json
cost_weighted_ce,cost_weighted_ce,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.875,0.9609375,0.014374999999999999,0.14375,0.940625,0.940625,0.9404672997408206,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_cost_weighted_ce_lr1e5_s42_05-02_22-19/metrics_20260502_221927_cost_weighted_ce.json
ldam_drw,ldam_drw,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.875,0.9296875,0.023125,0.23125,0.946875,0.946875,0.947332293201636,7,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ldam_drw_lr1e5_s42_05-02_22-39/metrics_20260502_223925_ldam_drw.json
csada,csada,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.875,0.9453125,0.0371875,0.371875,0.70625,0.70625,0.6478255297022742,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_csada_lr1e5_s42_05-02_22-47/metrics_20260502_224739_csada.json
ce_anchor_pretty,ce_anchor_pretty,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.84375,0.9375,0.016875,0.16875,0.965625,0.965625,0.9654081156298899,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr1e5_s42_05-02_22-04/metrics_20260502_220500_cross_entropy.json
menon_logit_adjusted,menon_logit_adjusted,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.84375,0.9375,0.016875,0.16875,0.965625,0.965625,0.9654081156298899,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_menon_logit_adjusted_lr1e5_s42_05-02_22-24/metrics_20260502_222448_menon_logit_adjusted.json
balanced_softmax,balanced_softmax,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.84375,0.9375,0.016875,0.16875,0.965625,0.965625,0.9654081156298899,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_balanced_softmax_lr1e5_s42_05-02_22-30/metrics_20260502_223011_balanced_softmax.json
class_balanced_focal,class_balanced_focal,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.8125,0.9296875,0.0209375,0.209375,0.925,0.925,0.9246663763652927,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_class_balanced_focal_lr1e5_s42_05-02_22-33/metrics_20260502_223401_class_balanced_focal.json
nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,argmax,0.78125,0.90625,0.024375,0.24375,0.90625,0.90625,0.9064687843115868,6,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_nicme_v2_hybrid_pretty_lr1e5_s42_05-02_22-14/metrics_20260502_221415_nicme_hybrid.json
ce_cost_min_inference_pretty,ce_cost_min_inference_pretty,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,cost_min,0.34375,0.796875,0.011875,0.11875,0.88125,0.88125,0.871540637477592,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr1e5_s42_05-02_22-04/metrics_20260502_220500_cross_entropy.json
sosr_cnn,sosr_cnn,sota_baseline_run,pretty_balanced,lr1e5,1e-05,1e-05,sosr_argmin,0.21875,0.7421875,0.026250000000000002,0.2625,0.765625,0.765625,0.7462397730069764,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_sosr_cnn_lr1e5_s42_05-02_22-44/metrics_20260502_224449_sosr_cnn.json
