run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,run,ce_anchor_pretty,ce_anchor_pretty,pretty_balanced,lr1e5,1e-05,1e-05,completed,a14f3d95eaaba0be,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0001_a14f3d95eaaba0be.json,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr1e5_s42_05-02_22-04/metrics_20260502_220500_cross_entropy.json,checkpoints/run_ce_anchor_pretty_lr1e5_s42,argmax,0.84375,0.9375,0.016875,0.16875,0.965625,0.965625,0.9654081156298899,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:59:36,2026-05-02T22:05:01,324.9,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0001_a14f3d95eaaba0be.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0001_a14f3d95eaaba0be.stderr.log,0,
2,run,nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,pretty_balanced,lr1e5,1e-05,1e-05,completed,e5b74769f981b89e,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0002_e5b74769f981b89e.json,results/pmi10_sota_convnext_base_test/run_nicme_v3_hybrid_pretty_lr1e5_s42_05-02_22-10/metrics_20260502_221023_nicme_v3_hybrid.json,checkpoints/run_nicme_v3_hybrid_pretty_lr1e5_s42,argmax,0.875,0.953125,0.013750000000000002,0.1375,0.96875,0.96875,0.9687809765371241,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:05:01,2026-05-02T22:10:24,323.5,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0002_e5b74769f981b89e.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0002_e5b74769f981b89e.stderr.log,0,
3,run,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,pretty_balanced,lr1e5,1e-05,1e-05,completed,e66132363c5fa881,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0003_e66132363c5fa881.json,results/pmi10_sota_convnext_base_test/run_nicme_v2_hybrid_pretty_lr1e5_s42_05-02_22-14/metrics_20260502_221415_nicme_hybrid.json,checkpoints/run_nicme_v2_hybrid_pretty_lr1e5_s42,argmax,0.78125,0.90625,0.024375,0.24375,0.90625,0.90625,0.9064687843115868,6,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:10:24,2026-05-02T22:14:16,231.6,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0003_e66132363c5fa881.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0003_e66132363c5fa881.stderr.log,0,
4,run,cost_weighted_ce,cost_weighted_ce,pretty_balanced,lr1e5,1e-05,1e-05,completed,5ae27d859051bbd8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0004_5ae27d859051bbd8.json,results/pmi10_sota_convnext_base_test/run_cost_weighted_ce_lr1e5_s42_05-02_22-19/metrics_20260502_221927_cost_weighted_ce.json,checkpoints/run_cost_weighted_ce_lr1e5_s42,argmax,0.875,0.9609375,0.014374999999999999,0.14375,0.940625,0.940625,0.9404672997408206,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:14:16,2026-05-02T22:19:28,312.3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0004_5ae27d859051bbd8.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0004_5ae27d859051bbd8.stderr.log,0,
5,run,menon_logit_adjusted,menon_logit_adjusted,pretty_balanced,lr1e5,1e-05,1e-05,completed,c0b31edf040d34fd,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0005_c0b31edf040d34fd.json,results/pmi10_sota_convnext_base_test/run_menon_logit_adjusted_lr1e5_s42_05-02_22-24/metrics_20260502_222448_menon_logit_adjusted.json,checkpoints/run_menon_logit_adjusted_lr1e5_s42,argmax,0.84375,0.9375,0.016875,0.16875,0.965625,0.965625,0.9654081156298899,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:19:28,2026-05-02T22:24:48,320.5,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0005_c0b31edf040d34fd.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0005_c0b31edf040d34fd.stderr.log,0,
6,run,balanced_softmax,balanced_softmax,pretty_balanced,lr1e5,1e-05,1e-05,completed,814dca0d8a336aab,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0006_814dca0d8a336aab.json,results/pmi10_sota_convnext_base_test/run_balanced_softmax_lr1e5_s42_05-02_22-30/metrics_20260502_223011_balanced_softmax.json,checkpoints/run_balanced_softmax_lr1e5_s42,argmax,0.84375,0.9375,0.016875,0.16875,0.965625,0.965625,0.9654081156298899,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:24:48,2026-05-02T22:30:12,323.3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0006_814dca0d8a336aab.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0006_814dca0d8a336aab.stderr.log,0,
7,run,class_balanced_focal,class_balanced_focal,pretty_balanced,lr1e5,1e-05,1e-05,completed,10845f75da498724,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0007_10845f75da498724.json,results/pmi10_sota_convnext_base_test/run_class_balanced_focal_lr1e5_s42_05-02_22-33/metrics_20260502_223401_class_balanced_focal.json,checkpoints/run_class_balanced_focal_lr1e5_s42,argmax,0.8125,0.9296875,0.0209375,0.209375,0.925,0.925,0.9246663763652927,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:30:12,2026-05-02T22:34:02,230.0,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0007_10845f75da498724.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0007_10845f75da498724.stderr.log,0,
8,run,ldam_drw,ldam_drw,pretty_balanced,lr1e5,1e-05,1e-05,completed,7fe103c968bc71b0,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0008_7fe103c968bc71b0.json,results/pmi10_sota_convnext_base_test/run_ldam_drw_lr1e5_s42_05-02_22-39/metrics_20260502_223925_ldam_drw.json,checkpoints/run_ldam_drw_lr1e5_s42,argmax,0.875,0.9296875,0.023125,0.23125,0.946875,0.946875,0.947332293201636,7,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:34:02,2026-05-02T22:39:26,324.0,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0008_7fe103c968bc71b0.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0008_7fe103c968bc71b0.stderr.log,0,
9,run,ap_csada,ap_csada,pretty_balanced,lr1e5,1e-05,1e-05,completed,71da6c1f391eef66,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0009_71da6c1f391eef66.json,results/pmi10_sota_convnext_base_test/run_ap_csada_lr1e5_s42_05-02_22-41/metrics_20260502_224144_ap_csada.json,checkpoints/run_ap_csada_lr1e5_s42,argmax,0.90625,0.953125,0.015,0.15,0.95625,0.95625,0.9565235387806229,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:39:26,2026-05-02T22:41:44,138.8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0009_71da6c1f391eef66.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0009_71da6c1f391eef66.stderr.log,0,
10,run,sosr_cnn,sosr_cnn,pretty_balanced,lr1e5,1e-05,1e-05,completed,c6f48e254665fd69,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0010_c6f48e254665fd69.json,results/pmi10_sota_convnext_base_test/run_sosr_cnn_lr1e5_s42_05-02_22-44/metrics_20260502_224449_sosr_cnn.json,checkpoints/run_sosr_cnn_lr1e5_s42,sosr_argmin,0.21875,0.7421875,0.026250000000000002,0.2625,0.765625,0.765625,0.7462397730069764,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:41:44,2026-05-02T22:44:49,184.9,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0010_c6f48e254665fd69.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0010_c6f48e254665fd69.stderr.log,0,
11,run,csada,csada,pretty_balanced,lr1e5,1e-05,1e-05,completed,d04c74952c9462d2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/configs/0011_d04c74952c9462d2.json,results/pmi10_sota_convnext_base_test/run_csada_lr1e5_s42_05-02_22-47/metrics_20260502_224739_csada.json,checkpoints/run_csada_lr1e5_s42,argmax,0.875,0.9453125,0.0371875,0.371875,0.70625,0.70625,0.6478255297022742,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T22:44:49,2026-05-02T22:47:40,170.4,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0011_d04c74952c9462d2.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/run/logs/0011_d04c74952c9462d2.stderr.log,0,
