run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,smoke,ce_anchor_pretty,ce_anchor_pretty,pretty_balanced,lr1e5,1e-05,1e-05,completed,1bb9c4320da7d893,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0001_1bb9c4320da7d893.json,results/pmi10_sota_convnext_base_test/smoke_ce_anchor_pretty_lr1e5_s42_05-02_21-51/metrics_20260502_215143_cross_entropy.json,checkpoints/smoke_ce_anchor_pretty_lr1e5_s42,argmax,0.09375,0.3125,0.1575,1.575,0.403125,0.403125,0.3917816869139389,41,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:50:57,2026-05-02T21:51:44,46.3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0001_1bb9c4320da7d893.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0001_1bb9c4320da7d893.stderr.log,0,
2,smoke,nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,pretty_balanced,lr1e5,1e-05,1e-05,completed,4b99f1a2905f75f0,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0002_4b99f1a2905f75f0.json,results/pmi10_sota_convnext_base_test/smoke_nicme_v3_hybrid_pretty_lr1e5_s42_05-02_21-52/metrics_20260502_215228_nicme_v3_hybrid.json,checkpoints/smoke_nicme_v3_hybrid_pretty_lr1e5_s42,argmax,0.0,0.3203125,0.11625,1.1625,0.41875,0.41875,0.39954814435283975,24,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:51:44,2026-05-02T21:52:29,45.4,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0002_4b99f1a2905f75f0.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0002_4b99f1a2905f75f0.stderr.log,0,
3,smoke,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,pretty_balanced,lr1e5,1e-05,1e-05,completed,b35a6cd41f8e6dfc,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0003_b35a6cd41f8e6dfc.json,results/pmi10_sota_convnext_base_test/smoke_nicme_v2_hybrid_pretty_lr1e5_s42_05-02_21-53/metrics_20260502_215315_nicme_hybrid.json,checkpoints/smoke_nicme_v2_hybrid_pretty_lr1e5_s42,argmax,0.1875,0.4453125,0.11781250000000001,1.178125,0.384375,0.384375,0.35199932649474286,22,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:52:29,2026-05-02T21:53:15,46.3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0003_b35a6cd41f8e6dfc.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0003_b35a6cd41f8e6dfc.stderr.log,0,
4,smoke,cost_weighted_ce,cost_weighted_ce,pretty_balanced,lr1e5,1e-05,1e-05,completed,637f9440392928db,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0004_637f9440392928db.json,results/pmi10_sota_convnext_base_test/smoke_cost_weighted_ce_lr1e5_s42_05-02_21-53/metrics_20260502_215401_cost_weighted_ce.json,checkpoints/smoke_cost_weighted_ce_lr1e5_s42,argmax,0.0,0.4921875,0.14750000000000002,1.475,0.23125,0.23125,0.18070359701975452,32,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:53:15,2026-05-02T21:54:01,46.0,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0004_637f9440392928db.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0004_637f9440392928db.stderr.log,0,
5,smoke,menon_logit_adjusted,menon_logit_adjusted,pretty_balanced,lr1e5,1e-05,1e-05,completed,fea84c4e520a3818,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0005_fea84c4e520a3818.json,results/pmi10_sota_convnext_base_test/smoke_menon_logit_adjusted_lr1e5_s42_05-02_21-54/metrics_20260502_215447_menon_logit_adjusted.json,checkpoints/smoke_menon_logit_adjusted_lr1e5_s42,argmax,0.09375,0.3125,0.1575,1.575,0.403125,0.403125,0.3917816869139389,41,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:54:01,2026-05-02T21:54:47,46.0,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0005_fea84c4e520a3818.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0005_fea84c4e520a3818.stderr.log,0,
6,smoke,balanced_softmax,balanced_softmax,pretty_balanced,lr1e5,1e-05,1e-05,completed,2a7a3ff630c3e40a,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0006_2a7a3ff630c3e40a.json,results/pmi10_sota_convnext_base_test/smoke_balanced_softmax_lr1e5_s42_05-02_21-55/metrics_20260502_215533_balanced_softmax.json,checkpoints/smoke_balanced_softmax_lr1e5_s42,argmax,0.09375,0.3125,0.1575,1.575,0.403125,0.403125,0.3917816869139389,41,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:54:47,2026-05-02T21:55:34,46.2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0006_2a7a3ff630c3e40a.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0006_2a7a3ff630c3e40a.stderr.log,0,
7,smoke,class_balanced_focal,class_balanced_focal,pretty_balanced,lr1e5,1e-05,1e-05,completed,1fcc58c04b30124f,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0007_1fcc58c04b30124f.json,results/pmi10_sota_convnext_base_test/smoke_class_balanced_focal_lr1e5_s42_05-02_21-56/metrics_20260502_215618_class_balanced_focal.json,checkpoints/smoke_class_balanced_focal_lr1e5_s42,argmax,0.09375,0.3359375,0.1575,1.575,0.403125,0.403125,0.39167388304014417,41,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:55:34,2026-05-02T21:56:18,44.6,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0007_1fcc58c04b30124f.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0007_1fcc58c04b30124f.stderr.log,0,
8,smoke,ldam_drw,ldam_drw,pretty_balanced,lr1e5,1e-05,1e-05,completed,98615b9b78d7f9e6,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0008_98615b9b78d7f9e6.json,results/pmi10_sota_convnext_base_test/smoke_ldam_drw_lr1e5_s42_05-02_21-56/metrics_20260502_215703_ldam_drw.json,checkpoints/smoke_ldam_drw_lr1e5_s42,argmax,0.03125,0.2578125,0.095625,0.95625,0.296875,0.296875,0.2576131895166917,9,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:56:18,2026-05-02T21:57:04,45.7,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0008_98615b9b78d7f9e6.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0008_98615b9b78d7f9e6.stderr.log,0,
9,smoke,ap_csada,ap_csada,pretty_balanced,lr1e5,1e-05,1e-05,completed,69404902b0729c43,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0009_69404902b0729c43.json,results/pmi10_sota_convnext_base_test/smoke_ap_csada_lr1e5_s42_05-02_21-57/metrics_20260502_215750_ap_csada.json,checkpoints/smoke_ap_csada_lr1e5_s42,argmax,0.0,0.4375,0.0753125,0.753125,0.4375,0.4375,0.3710892524572743,7,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:57:04,2026-05-02T21:57:51,46.6,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0009_69404902b0729c43.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0009_69404902b0729c43.stderr.log,0,
10,smoke,sosr_cnn,sosr_cnn,pretty_balanced,lr1e5,1e-05,1e-05,completed,34942f76314a8db9,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/configs/0010_34942f76314a8db9.json,results/pmi10_sota_convnext_base_test/smoke_sosr_cnn_lr1e5_s42_05-02_21-58/metrics_20260502_215836_sosr_cnn.json,checkpoints/smoke_sosr_cnn_lr1e5_s42,sosr_argmin,0.0,0.0234375,0.1025,1.025,0.059375,0.059375,0.055271439811172315,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T21:57:51,2026-05-02T21:58:37,46.3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0010_34942f76314a8db9.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/smoke/logs/0010_34942f76314a8db9.stderr.log,0,
