method,role,source,comparison_profile,lr_profile,learning_rate,parent_learning_rate,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,metric_path
csada,csada,sota_baseline_run,pretty_balanced,lr5e5,1e-05,5e-05,argmax,0.96875,0.984375,0.015625,0.15625,0.871875,0.871875,0.8510916703395954,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_csada_lr5e5_s42_05-02_19-08/metrics_20260502_190832_csada.json
ap_csada,ap_csada,sota_baseline_run,pretty_balanced,lr1e4,1e-05,0.0001,argmax,0.9375,0.9765625,0.005,0.05,0.978125,0.978125,0.9783492053939213,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ap_csada_lr1e4_s42_05-02_19-46/metrics_20260502_194646_ap_csada.json
ce_anchor_pretty,ce_anchor_pretty,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.9375,0.9765625,0.0053124999999999995,0.053125,0.975,0.975,0.9752146713663412,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr1e4_s42_05-02_19-13/metrics_20260502_191339_cross_entropy.json
nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.9375,0.96875,0.005625,0.05625,0.971875,0.971875,0.9720427841739318,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_nicme_v2_hybrid_pretty_lr1e4_s42_05-02_19-20/metrics_20260502_192107_nicme_hybrid.json
cost_weighted_ce,cost_weighted_ce,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.9375,0.9765625,0.005625,0.05625,0.971875,0.971875,0.9719429427605973,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_cost_weighted_ce_lr1e4_s42_05-02_19-26/metrics_20260502_192628_cost_weighted_ce.json
class_balanced_focal,class_balanced_focal,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.9375,0.9765625,0.0059375,0.059375,0.96875,0.96875,0.9690937482030936,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_class_balanced_focal_lr1e4_s42_05-02_19-41/metrics_20260502_194155_class_balanced_focal.json
csada,csada,sota_baseline_run,pretty_balanced,lr1e4,1e-05,0.0001,argmax,0.9375,0.9765625,0.0071874999999999994,0.071875,0.95,0.95,0.9494995458104443,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_csada_lr1e4_s42_05-02_19-50/metrics_20260502_195039_csada.json
ce_cost_min_inference_pretty,ce_cost_min_inference_pretty,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,cost_min,0.90625,0.9765625,0.0025,0.025,0.975,0.975,0.9749821364882841,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr1e4_s42_05-02_19-13/metrics_20260502_191339_cross_entropy.json
ce_cost_min_inference_pretty,ce_cost_min_inference_pretty,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,cost_min,0.90625,0.9609375,0.006562500000000001,0.065625,0.9625,0.9625,0.9627910925254379,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr5e5_s42_05-02_18-34/metrics_20260502_183413_cross_entropy.json
nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_nicme_v3_hybrid_pretty_lr5e5_s42_05-02_18-38/metrics_20260502_183824_nicme_v3_hybrid.json
balanced_softmax,balanced_softmax,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_balanced_softmax_lr5e5_s42_05-02_18-54/metrics_20260502_185436_balanced_softmax.json
ce_anchor_pretty,ce_anchor_pretty,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.90625,0.96875,0.0084375,0.084375,0.971875,0.971875,0.9721248882100401,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr5e5_s42_05-02_18-34/metrics_20260502_183413_cross_entropy.json
nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.90625,0.9609375,0.010312499999999999,0.103125,0.975,0.975,0.9750885874877809,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_nicme_v2_hybrid_pretty_lr5e5_s42_05-02_18-42/metrics_20260502_184231_nicme_hybrid.json
menon_logit_adjusted,menon_logit_adjusted,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.90625,0.9609375,0.01125,0.1125,0.971875,0.971875,0.9719984727931887,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_menon_logit_adjusted_lr5e5_s42_05-02_18-49/metrics_20260502_184914_menon_logit_adjusted.json
ldam_drw,ldam_drw,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.90625,0.953125,0.0121875,0.121875,0.971875,0.971875,0.9721705971421148,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ldam_drw_lr5e5_s42_05-02_19-02/metrics_20260502_190304_ldam_drw.json
ap_csada,ap_csada,sota_baseline_run,pretty_balanced,lr5e5,1e-05,5e-05,argmax,0.90625,0.953125,0.0121875,0.121875,0.971875,0.971875,0.9722227935068661,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ap_csada_lr5e5_s42_05-02_19-04/metrics_20260502_190435_ap_csada.json
menon_logit_adjusted,menon_logit_adjusted,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.90625,0.96875,0.015,0.15,0.90625,0.90625,0.8971618881891622,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_menon_logit_adjusted_lr1e4_s42_05-02_19-30/metrics_20260502_193050_menon_logit_adjusted.json
nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.90625,0.9453125,0.018437500000000002,0.184375,0.921875,0.921875,0.916835180138629,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_nicme_v3_hybrid_pretty_lr1e4_s42_05-02_19-17/metrics_20260502_191746_nicme_v3_hybrid.json
balanced_softmax,balanced_softmax,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.875,0.9609375,0.008125,0.08125,0.975,0.975,0.9749648289955972,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_balanced_softmax_lr1e4_s42_05-02_19-36/metrics_20260502_193612_balanced_softmax.json
ldam_drw,ldam_drw,sota_baseline_run,pretty_balanced,lr1e4,0.0001,0.0001,argmax,0.875,0.9453125,0.015625,0.15625,0.95625,0.95625,0.9562193260924318,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ldam_drw_lr1e4_s42_05-02_19-45/metrics_20260502_194514_ldam_drw.json
cost_weighted_ce,cost_weighted_ce,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.875,0.9296875,0.04,0.4,0.7125,0.7125,0.6782649537777861,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_cost_weighted_ce_lr5e5_s42_05-02_18-44/metrics_20260502_184504_cost_weighted_ce.json
class_balanced_focal,class_balanced_focal,sota_baseline_run,pretty_balanced,lr5e5,5e-05,5e-05,argmax,0.84375,0.953125,0.0115625,0.115625,0.96875,0.96875,0.9686703611063194,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_class_balanced_focal_lr5e5_s42_05-02_18-58/metrics_20260502_185843_class_balanced_focal.json
sosr_cnn,sosr_cnn,sota_baseline_run,pretty_balanced,lr1e4,1e-05,0.0001,sosr_argmin,0.0,0.0,0.11968749999999999,1.196875,0.0,0.0,0.0,7,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_sosr_cnn_lr1e4_s42_05-02_19-48/metrics_20260502_194817_sosr_cnn.json
sosr_cnn,sosr_cnn,sota_baseline_run,pretty_balanced,lr5e5,1e-05,5e-05,sosr_argmin,0.0,0.0,0.139375,1.39375,0.0,0.0,0.0,14,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_sosr_cnn_lr5e5_s42_05-02_19-06/metrics_20260502_190609_sosr_cnn.json
