seed,method,display_name,source_method,sample_index,true_id,pred_id,true_label,costly_pred_label,critical_cost,predicted_id,margin,is_positive_margin,checkpoint_path,metric_path
42,CE,CE,ce_anchor_pmi20,160,5,2,50111-0434,00591-0461,10.0,5,5.843986749649048,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,161,5,2,50111-0434,00591-0461,10.0,5,5.8609631061553955,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,162,5,2,50111-0434,00591-0461,10.0,5,6.5110697746276855,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,163,5,2,50111-0434,00591-0461,10.0,5,6.379224061965942,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,164,5,2,50111-0434,00591-0461,10.0,5,8.003288626670837,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,165,5,2,50111-0434,00591-0461,10.0,5,7.471212029457092,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,166,5,2,50111-0434,00591-0461,10.0,5,5.896389722824097,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,167,5,2,50111-0434,00591-0461,10.0,5,5.401310920715332,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,168,5,2,50111-0434,00591-0461,10.0,5,6.348845601081848,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,169,5,2,50111-0434,00591-0461,10.0,5,5.735660791397095,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,170,5,2,50111-0434,00591-0461,10.0,5,6.595699071884155,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,171,5,2,50111-0434,00591-0461,10.0,5,6.172341585159302,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,172,5,2,50111-0434,00591-0461,10.0,5,4.382936954498291,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,173,5,2,50111-0434,00591-0461,10.0,5,5.618432521820068,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,174,5,2,50111-0434,00591-0461,10.0,5,7.003411889076233,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,175,5,2,50111-0434,00591-0461,10.0,5,6.496700286865234,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
42,CE,CE,ce_anchor_pmi20,176,5,2,50111-0434,00591-0461,10.0,5,2.343425750732422,True,checkpoints/pmi20_run_ce_anchor_pmi20_lr5e5_s42,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json
