dataset_key,seed,run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
spider,42,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,c9f12ad2455d6ed9,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0001_c9f12ad2455d6ed9.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_ce_anchor_binary_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,dd0d2d09fb4bd75f,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0002_dd0d2d09fb4bd75f.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,f28d51782a0a9c15,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0003_f28d51782a0a9c15.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_menon_logit_adjusted_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,963f9fde850d2b94,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0004_963f9fde850d2b94.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_weighted_ce_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,c85ba50552ff12e9,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0005_c85ba50552ff12e9.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_sensitive_regularized_ce_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,42,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,3ec657ff06147d2e,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_42/dry-run/configs/0006_3ec657ff06147d2e.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_csada_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,fefdf7ddd8e59263,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0001_fefdf7ddd8e59263.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_ce_anchor_binary_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,920d7a8401662694,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0002_920d7a8401662694.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,44848d9bf03ba739,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0003_44848d9bf03ba739.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_menon_logit_adjusted_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,939f9ecdeeb893b8,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0004_939f9ecdeeb893b8.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_weighted_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,8d79f11bada591d2,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0005_8d79f11bada591d2.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_cost_sensitive_regularized_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,43,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,885b5daee021358f,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_43/dry-run/configs/0006_885b5daee021358f.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_csada_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
spider,44,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,4c2f72532efa6224,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/spider/seeds/seed_44/dry-run/configs/0001_4c2f72532efa6224.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_spider_dry-run_ce_anchor_binary_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,8e2443d43cadb3596d502d689ff24e73b9f5663f409c5ddd43e48cc70442b753,,,,,,,
