run_id,config_hash,dataset,variant,model_family,method,seed,status,start_time,end_time,elapsed_seconds,config_path,stdout_log,stderr_log,returncode,failure_reason,attempts,attempt_returncodes
0001_eyepacs_dr_balanced_facebook_dinov3_vit_lora_ce_seed42,53cd848091435e22,eyepacs_dr,balanced,facebook_dinov3_vit_lora,ce,42,completed,2026-05-01T06:50:33.647145+00:00,2026-05-01T06:58:31.401389+00:00,477.754,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0001_eyepacs_dr_balanced_facebook_dinov3_vit_lora_ce_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0001_eyepacs_dr_balanced_facebook_dinov3_vit_lora_ce_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0001_eyepacs_dr_balanced_facebook_dinov3_vit_lora_ce_seed42.attempt1.stderr.log,0,,1,0
0002_eyepacs_dr_balanced_facebook_dinov3_vit_lora_menon_logit_adjusted_seed42,ab8fe23fdaa24536,eyepacs_dr,balanced,facebook_dinov3_vit_lora,menon_logit_adjusted,42,completed,2026-05-01T06:58:33.472787+00:00,2026-05-01T07:06:15.302819+00:00,461.830,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0002_eyepacs_dr_balanced_facebook_dinov3_vit_lora_menon_logit_adjusted_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0002_eyepacs_dr_balanced_facebook_dinov3_vit_lora_menon_logit_adjusted_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0002_eyepacs_dr_balanced_facebook_dinov3_vit_lora_menon_logit_adjusted_seed42.attempt1.stderr.log,0,,1,0
0003_eyepacs_dr_balanced_facebook_dinov3_vit_lora_cs_regularized_ce_seed42,cb4eb7968e1b3f30,eyepacs_dr,balanced,facebook_dinov3_vit_lora,cs_regularized_ce,42,completed,2026-05-01T07:06:17.352333+00:00,2026-05-01T07:14:00.530941+00:00,463.179,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0003_eyepacs_dr_balanced_facebook_dinov3_vit_lora_cs_regularized_ce_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0003_eyepacs_dr_balanced_facebook_dinov3_vit_lora_cs_regularized_ce_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0003_eyepacs_dr_balanced_facebook_dinov3_vit_lora_cs_regularized_ce_seed42.attempt1.stderr.log,0,,1,0
0004_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_logit_adjustment_seed42,98801eabddc620a5,eyepacs_dr,balanced,facebook_dinov3_vit_lora,nicme_logit_adjustment,42,completed,2026-05-01T07:14:02.621291+00:00,2026-05-01T07:28:46.160899+00:00,883.540,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0004_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_logit_adjustment_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0004_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_logit_adjustment_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0004_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_logit_adjustment_seed42.attempt1.stderr.log,0,,1,0
0005_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_hybrid_seed42,dd8cfbbb267f2007,eyepacs_dr,balanced,facebook_dinov3_vit_lora,nicme_hybrid,42,completed,2026-05-01T07:28:48.180314+00:00,2026-05-01T07:36:39.948944+00:00,471.769,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0005_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_hybrid_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0005_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_hybrid_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0005_eyepacs_dr_balanced_facebook_dinov3_vit_lora_nicme_hybrid_seed42.attempt1.stderr.log,0,,1,0
0006_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42,bd70586d230aa8a5,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,ce,42,completed,2026-05-01T07:36:42.004720+00:00,2026-05-01T07:47:29.413716+00:00,647.409,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0006_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0006_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0006_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_ce_seed42.attempt1.stderr.log,0,,1,0
0007_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_menon_logit_adjusted_seed42,b5c899df680a2abe,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,menon_logit_adjusted,42,completed,2026-05-01T07:47:31.474445+00:00,2026-05-01T07:58:14.686251+00:00,643.212,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0007_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_menon_logit_adjusted_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0007_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_menon_logit_adjusted_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0007_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_menon_logit_adjusted_seed42.attempt1.stderr.log,0,,1,0
0008_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42,92031f66d3da02d3,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,cs_regularized_ce,42,completed,2026-05-01T07:58:16.770933+00:00,2026-05-01T08:08:50.295996+00:00,633.525,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0008_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0008_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0008_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_cs_regularized_ce_seed42.attempt1.stderr.log,0,,1,0
0009_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_logit_adjustment_seed42,b3ca3d59afc9a07e,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,nicme_logit_adjustment,42,completed,2026-05-01T08:08:52.289942+00:00,2026-05-01T08:19:37.860281+00:00,645.570,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0009_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_logit_adjustment_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0009_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_logit_adjustment_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0009_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_logit_adjustment_seed42.attempt1.stderr.log,0,,1,0
0010_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_hybrid_seed42,1ed4d6c5455dcfc3,eyepacs_dr,balanced,facebook_dinov3_convnext_lora,nicme_hybrid,42,completed,2026-05-01T08:19:39.902667+00:00,2026-05-01T08:33:23.094969+00:00,823.192,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/configs/0010_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_hybrid_seed42.attempt1.json,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0010_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_hybrid_seed42.attempt1.stdout.log,results/multiclass_mc2_official_dinov3_lora_balanced_20260501/mc2/logs/0010_eyepacs_dr_balanced_facebook_dinov3_convnext_lora_nicme_hybrid_seed42.attempt1.stderr.log,0,,1,0
