composite_rank,method,display_name,decision_mode,n_seeds,seeds,learning_rate,parent_learning_rate,alpha,cs_lambda,loss_function,target_recall_min_mean,target_recall_min_std,target_recall_macro_mean,target_recall_macro_std,normalized_atc_mean,normalized_atc_std,atc_mean,atc_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,critical_pair_error_count_mean,critical_pair_error_count_std,critical_pair_error_count_total
1,menon_logit_adjusted,Menon logit adjustment,argmax,3,"42,43,44",5e-05,5e-05,,,menon_logit_adjusted,0.9270833333333334,0.018042195912175804,0.9739583333333334,0.004510548978043951,0.006145833333333333,0.0017769502197116649,0.06145833333333334,0.01776950219711665,0.9760416666666667,0.0047735163489122925,0.9762310457757617,0.00478827535029927,1.3333333333333333,0.5773502691896257,4
2,ldam_drw,LDAM-DRW,argmax,3,"42,43,44",5e-05,5e-05,,,ldam_drw,0.9270833333333334,0.03608439182435161,0.9609375,0.015625,0.014479166666666668,0.005558050654980876,0.14479166666666668,0.055580506549808756,0.959375,0.008267972847076838,0.9599130440626865,0.0079824323983442,4.0,1.7320508075688772,12
3,ce_anchor_pretty,CE,argmax,3,"42,43,44",5e-05,5e-05,,,cross_entropy,0.9166666666666666,0.018042195912175804,0.9713541666666666,0.004510548978043951,0.007291666666666666,0.0022606806681469485,0.07291666666666667,0.022606806681469485,0.9739583333333334,0.0065052062483316325,0.9740463387764183,0.006561456117283704,1.6666666666666667,0.5773502691896257,5
4,nicme_v3_hybrid_pretty_a0p5_l0p07,"NICME v3 (alpha=0.5, lambda=0.07)",argmax,3,"42,43,44",5e-05,5e-05,0.5,0.07,nicme_v3_hybrid,0.9166666666666666,0.047735163489123336,0.9583333333333334,0.03252603124165832,0.017395833333333336,0.021204761896407454,0.17395833333333333,0.2120476189640745,0.915625,0.10565088440235607,0.9063926127689342,0.1218175999447396,3.3333333333333335,4.041451884327381,10
5,cost_sensitive_regularized_ce,cost-sensitive regularized CE,argmax,3,"42,43,44",1e-05,5e-05,,,cost_sensitive_regularized_ce,0.90625,0.0,0.96875,0.0,0.007291666666666666,0.0017211157960269074,0.07291666666666667,0.017211157960269074,0.9739583333333334,0.001804219591217542,0.9740333975316551,0.0018120858242422152,1.6666666666666667,0.5773502691896257,5
6,ce_cost_min_inference_pretty,CE + cost-min inference,cost_min,3,"42,43,44",5e-05,5e-05,,,cross_entropy,0.90625,0.0,0.953125,0.013531646934131853,0.007395833333333333,0.0012629537138523059,0.07395833333333333,0.01262953713852306,0.9635416666666666,0.0065052062483316325,0.9636055924341118,0.006411936246301153,1.3333333333333333,0.5773502691896257,4
7,nicme_v2_hybrid_pretty,NICME v2 hybrid,argmax,3,"42,43,44",5e-05,5e-05,0.4,0.25,nicme_hybrid,0.90625,0.0,0.9661458333333334,0.004510548978043951,0.009791666666666666,0.00090210979560879,0.09791666666666665,0.009021097956087902,0.946875,0.031715286140913186,0.9458830946497073,0.03339982424657238,1.6666666666666667,1.5275252316519468,5
8,balanced_softmax,Balanced softmax,argmax,3,"42,43,44",5e-05,5e-05,,,balanced_softmax,0.8958333333333334,0.07216878364870322,0.9635416666666666,0.01626301562082916,0.006979166666666667,0.0020090939085401992,0.06979166666666667,0.020090939085401993,0.975,0.00541265877365269,0.9749866638794428,0.0055582522855303265,1.6666666666666667,0.5773502691896257,5
9,cost_weighted_ce,Cost-weighted CE,argmax,3,"42,43,44",5e-05,5e-05,,,cost_weighted_ce,0.8958333333333334,0.03608439182435161,0.9557291666666666,0.023867581744561668,0.02125,0.016237976320958226,0.2125,0.16237976320958225,0.8718750000000001,0.13873733050264442,0.8596410333768382,0.15781217917477317,3.0,1.0,9
10,csada,CSADA,argmax,3,"42,43,44",1e-05,5e-05,,,csada,0.8854166666666666,0.047735163489123336,0.9635416666666666,0.019661027175184243,0.020520833333333335,0.007045702738785771,0.20520833333333335,0.07045702738785772,0.8781249999999999,0.016535945694153696,0.8659137328997035,0.024445252594477256,3.3333333333333335,2.516611478423583,10
11,class_balanced_focal,Class-balanced focal,argmax,3,"42,43,44",5e-05,5e-05,,,class_balanced_focal,0.84375,0.0625,0.9479166666666666,0.009021097956087902,0.010520833333333333,0.00416145507404962,0.10520833333333333,0.041614550740496206,0.9635416666666666,0.009021097956087902,0.9636495505603394,0.008400190038075394,2.6666666666666665,1.5275252316519468,8
12,sosr_cnn,SOSR-CNN,sosr_argmin,3,"42,43,44",1e-05,5e-05,,,sosr_cnn,0.3541666666666667,0.37673211083385677,0.5625,0.48938936760518204,0.049479166666666664,0.052018188425620254,0.4947916666666667,0.5201818842562026,0.5364583333333334,0.46622584276113793,0.5269462503796225,0.4585889882797584,1.3333333333333333,2.309401076758503,4
