seed,metric,nicme,csada,improvement_positive_favors_nicme,direction
42,target_recall_min,0.96875,0.84375,0.125,higher
42,target_recall_macro,0.984375,0.9453125,0.0390625,higher
42,normalized_atc,0.0046875,0.0278125,0.023125,lower
42,atc,0.046875,0.278125,0.23125,lower
42,balanced_accuracy,0.98125,0.859375,0.12187499999999996,higher
42,macro_f1,0.9813859012850947,0.8397880256069762,0.14159787567811855,higher
42,critical_pair_error_count,1.0,6.0,5.0,lower
43,target_recall_min,0.875,0.9375,-0.0625,higher
43,target_recall_macro,0.921875,0.984375,-0.0625,higher
43,normalized_atc,0.041875,0.013750000000000002,-0.028125,lower
43,atc,0.41875,0.1375,-0.28125,lower
43,balanced_accuracy,0.79375,0.890625,-0.09687500000000004,higher
43,macro_f1,0.765835148290726,0.888231635884069,-0.12239648759334298,higher
43,critical_pair_error_count,8.0,1.0,-7.0,lower
44,target_recall_min,0.90625,0.875,0.03125,higher
44,target_recall_macro,0.96875,0.9609375,0.0078125,higher
44,normalized_atc,0.005625,0.02,0.014375,lower
44,atc,0.05625,0.2,0.14375000000000002,lower
44,balanced_accuracy,0.971875,0.884375,0.08750000000000002,higher
44,macro_f1,0.9719567887309821,0.8697215372080656,0.10223525152291657,higher
44,critical_pair_error_count,1.0,3.0,2.0,lower
