seed,method,role,source,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
42,ce_anchor_pretty,ce_anchor_pretty,camera_ready_seed_42,argmax,0.90625,0.96875,0.0084375,0.084375,0.971875,0.971875,0.9719984727931887,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ce_anchor_pretty_lr5e5_s42_05-03_20-57/metrics_20260503_205802_cross_entropy.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_703d0e2fc703f77b.json
42,ce_cost_min_inference_pretty,ce_cost_min_inference_pretty,camera_ready_seed_42,cost_min,0.90625,0.9453125,0.0071874999999999994,0.071875,0.95625,0.95625,0.9564235912967789,1,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ce_anchor_pretty_lr5e5_s42_05-03_20-57/metrics_20260503_205802_cross_entropy.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_703d0e2fc703f77b.json
42,nicme_v3_hybrid_pretty_a0p5_l0p07,nicme_v3_hybrid_pretty_a0p5_l0p07,camera_ready_seed_42,argmax,0.96875,0.984375,0.0046875,0.046875,0.98125,0.98125,0.9813859012850947,1,5e-05,5e-05,0.5,0.07,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s42_05-03_21-03/metrics_20260503_210407_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0002_a9a9b4ef1abb2559.json
42,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,camera_ready_seed_42,argmax,0.90625,0.9609375,0.010312499999999999,0.103125,0.975,0.975,0.9750885874877809,3,5e-05,5e-05,0.4,0.25,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s42_05-03_21-08/metrics_20260503_210809_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0003_b2c870f9a75601c8.json
42,cost_weighted_ce,cost_weighted_ce,camera_ready_seed_42,argmax,0.875,0.9296875,0.04,0.4,0.7125,0.7125,0.6782649537777861,4,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_cost_weighted_ce_lr5e5_s42_05-03_21-10/metrics_20260503_211039_cost_weighted_ce.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0004_300b1d99ccafc810.json
42,menon_logit_adjusted,menon_logit_adjusted,camera_ready_seed_42,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_menon_logit_adjusted_lr5e5_s42_05-03_21-16/metrics_20260503_211655_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0005_4e1742fb342f92a1.json
42,balanced_softmax,balanced_softmax,camera_ready_seed_42,argmax,0.9375,0.96875,0.0078125,0.078125,0.971875,0.971875,0.9721938329885489,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_balanced_softmax_lr5e5_s42_05-03_21-22/metrics_20260503_212211_balanced_softmax.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0006_ca98a6427e77ddfa.json
42,class_balanced_focal,class_balanced_focal,camera_ready_seed_42,argmax,0.84375,0.953125,0.0115625,0.115625,0.96875,0.96875,0.9686703611063194,3,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_class_balanced_focal_lr5e5_s42_05-03_21-26/metrics_20260503_212613_class_balanced_focal.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0007_7bb6bc9542c3c43e.json
42,ldam_drw,ldam_drw,camera_ready_seed_42,argmax,0.90625,0.9453125,0.016875,0.16875,0.953125,0.953125,0.9541294542673651,5,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ldam_drw_lr5e5_s42_05-03_21-30/metrics_20260503_213012_ldam_drw.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0008_f09dea31350b2b9f.json
42,ap_csada,ap_csada,camera_ready_seed_42,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ap_csada_lr5e5_s42_05-03_21-32/metrics_20260503_213213_ap_csada.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0009_39cd8951eadd7730.json
