run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,run,ce_anchor_pretty,ce_anchor_pretty,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,703d0e2fc703f77b,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_703d0e2fc703f77b.json,results/pmi10_sota_convnext_base_test/camera_ready_run_ce_anchor_pretty_lr5e5_s42_05-03_20-57/metrics_20260503_205802_cross_entropy.json,checkpoints/camera_ready_run_ce_anchor_pretty_lr5e5_s42,argmax,0.90625,0.96875,0.0084375,0.084375,0.971875,0.971875,0.9719984727931887,2,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:52:36,2026-05-03T20:58:03,326.8,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0001_703d0e2fc703f77b.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0001_703d0e2fc703f77b.stderr.log,0,
2,run,nicme_v3_hybrid_pretty_a0p5_l0p07,nicme_v3_hybrid_pretty_a0p5_l0p07,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,completed,a9a9b4ef1abb2559,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0002_a9a9b4ef1abb2559.json,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s42_05-03_21-03/metrics_20260503_210407_nicme_v3_hybrid.json,checkpoints/camera_ready_run_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s42,argmax,0.96875,0.984375,0.0046875,0.046875,0.98125,0.98125,0.9813859012850947,1,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:58:03,2026-05-03T21:04:07,364.5,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0002_a9a9b4ef1abb2559.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0002_a9a9b4ef1abb2559.stderr.log,0,
3,run,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.4,0.25,completed,b2c870f9a75601c8,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0003_b2c870f9a75601c8.json,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s42_05-03_21-08/metrics_20260503_210809_nicme_hybrid.json,checkpoints/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s42,argmax,0.90625,0.9609375,0.010312499999999999,0.103125,0.975,0.975,0.9750885874877809,3,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:04:07,2026-05-03T21:08:10,242.5,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0003_b2c870f9a75601c8.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0003_b2c870f9a75601c8.stderr.log,0,
4,run,cost_weighted_ce,cost_weighted_ce,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,300b1d99ccafc810,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0004_300b1d99ccafc810.json,results/pmi10_sota_convnext_base_test/camera_ready_run_cost_weighted_ce_lr5e5_s42_05-03_21-10/metrics_20260503_211039_cost_weighted_ce.json,checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s42,argmax,0.875,0.9296875,0.04,0.4,0.7125,0.7125,0.6782649537777861,4,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:08:10,2026-05-03T21:10:40,149.8,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0004_300b1d99ccafc810.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0004_300b1d99ccafc810.stderr.log,0,
5,run,menon_logit_adjusted,menon_logit_adjusted,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,4e1742fb342f92a1,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0005_4e1742fb342f92a1.json,results/pmi10_sota_convnext_base_test/camera_ready_run_menon_logit_adjusted_lr5e5_s42_05-03_21-16/metrics_20260503_211655_menon_logit_adjusted.json,checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s42,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:10:40,2026-05-03T21:16:56,376.3,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0005_4e1742fb342f92a1.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0005_4e1742fb342f92a1.stderr.log,0,
6,run,balanced_softmax,balanced_softmax,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,ca98a6427e77ddfa,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0006_ca98a6427e77ddfa.json,results/pmi10_sota_convnext_base_test/camera_ready_run_balanced_softmax_lr5e5_s42_05-03_21-22/metrics_20260503_212211_balanced_softmax.json,checkpoints/camera_ready_run_balanced_softmax_lr5e5_s42,argmax,0.9375,0.96875,0.0078125,0.078125,0.971875,0.971875,0.9721938329885489,2,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:16:56,2026-05-03T21:22:11,315.4,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0006_ca98a6427e77ddfa.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0006_ca98a6427e77ddfa.stderr.log,0,
7,run,class_balanced_focal,class_balanced_focal,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,7bb6bc9542c3c43e,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0007_7bb6bc9542c3c43e.json,results/pmi10_sota_convnext_base_test/camera_ready_run_class_balanced_focal_lr5e5_s42_05-03_21-26/metrics_20260503_212613_class_balanced_focal.json,checkpoints/camera_ready_run_class_balanced_focal_lr5e5_s42,argmax,0.84375,0.953125,0.0115625,0.115625,0.96875,0.96875,0.9686703611063194,3,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:22:11,2026-05-03T21:26:14,242.2,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0007_7bb6bc9542c3c43e.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0007_7bb6bc9542c3c43e.stderr.log,0,
8,run,ldam_drw,ldam_drw,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,f09dea31350b2b9f,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0008_f09dea31350b2b9f.json,results/pmi10_sota_convnext_base_test/camera_ready_run_ldam_drw_lr5e5_s42_05-03_21-30/metrics_20260503_213012_ldam_drw.json,checkpoints/camera_ready_run_ldam_drw_lr5e5_s42,argmax,0.90625,0.9453125,0.016875,0.16875,0.953125,0.953125,0.9541294542673651,5,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:26:14,2026-05-03T21:30:12,238.7,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0008_f09dea31350b2b9f.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0008_f09dea31350b2b9f.stderr.log,0,
9,run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,39cd8951eadd7730,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0009_39cd8951eadd7730.json,results/pmi10_sota_convnext_base_test/camera_ready_run_cost_sensitive_regularized_ce_lr5e5_s42_05-03_21-32/metrics_20260503_213213_cost_sensitive_regularized_ce.json,checkpoints/camera_ready_run_cost_sensitive_regularized_ce_lr5e5_s42,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:30:12,2026-05-03T21:32:13,120.9,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0009_39cd8951eadd7730.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0009_39cd8951eadd7730.stderr.log,0,
10,run,sosr_cnn,sosr_cnn,camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,4c260f6a6dc4226b,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0010_4c260f6a6dc4226b.json,results/pmi10_sota_convnext_base_test/camera_ready_run_sosr_cnn_lr5e5_s42_05-03_21-35/metrics_20260503_213517_sosr_cnn.json,checkpoints/camera_ready_run_sosr_cnn_lr5e5_s42,sosr_argmin,0.3125,0.796875,0.0234375,0.234375,0.765625,0.765625,0.7451468996089284,0,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T21:32:13,2026-05-03T21:35:17,183.9,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0010_4c260f6a6dc4226b.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/logs/0010_4c260f6a6dc4226b.stderr.log,0,
