run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,dry-run,ce_anchor_pretty,ce_anchor_pretty,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,75f60f8757b2c9e3,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0001_75f60f8757b2c9e3.json,,checkpoints/camera_ready_dry-run_ce_anchor_pretty_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
2,dry-run,nicme_v3_hybrid_pretty_a0p5_l0p07,nicme_v3_hybrid_pretty_a0p5_l0p07,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,planned,69bd97db88fe7700,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0002_69bd97db88fe7700.json,,checkpoints/camera_ready_dry-run_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
3,dry-run,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.4,0.25,planned,fa3984fb98cd8e65,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0003_fa3984fb98cd8e65.json,,checkpoints/camera_ready_dry-run_nicme_v2_hybrid_pretty_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
4,dry-run,cost_weighted_ce,cost_weighted_ce,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,a2553a7838621bfd,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0004_a2553a7838621bfd.json,,checkpoints/camera_ready_dry-run_cost_weighted_ce_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
5,dry-run,menon_logit_adjusted,menon_logit_adjusted,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,7968970d2ed88544,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0005_7968970d2ed88544.json,,checkpoints/camera_ready_dry-run_menon_logit_adjusted_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
6,dry-run,balanced_softmax,balanced_softmax,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,047124db4b123656,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0006_047124db4b123656.json,,checkpoints/camera_ready_dry-run_balanced_softmax_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
7,dry-run,class_balanced_focal,class_balanced_focal,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,ce60964f85d33d47,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0007_ce60964f85d33d47.json,,checkpoints/camera_ready_dry-run_class_balanced_focal_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
8,dry-run,ldam_drw,ldam_drw,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,3bc389c63890f768,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0008_3bc389c63890f768.json,,checkpoints/camera_ready_dry-run_ldam_drw_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
9,dry-run,ap_csada,ap_csada,camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,27ad412e7cab4b1a,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0009_27ad412e7cab4b1a.json,,checkpoints/camera_ready_dry-run_ap_csada_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
10,dry-run,sosr_cnn,sosr_cnn,camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,675c7d67ca03e8e0,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0010_675c7d67ca03e8e0.json,,checkpoints/camera_ready_dry-run_sosr_cnn_lr5e5_s44,sosr_argmin,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
