run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,smoke,ce_anchor_pretty,ce_anchor_pretty,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,ac5c7bca08738505,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0001_ac5c7bca08738505.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_ce_anchor_pretty_lr5e5_s44_05-03_20-44/metrics_20260503_204443_cross_entropy.json,checkpoints/camera_ready_smoke_ce_anchor_pretty_lr5e5_s44,argmax,0.3125,0.7109375,0.0765625,0.765625,0.7125,0.7125,0.6803245483949987,17,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:43:58,2026-05-03T20:44:43,45.7,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0001_ac5c7bca08738505.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0001_ac5c7bca08738505.stderr.log,0,
2,smoke,nicme_v3_hybrid_pretty_a0p5_l0p07,nicme_v3_hybrid_pretty_a0p5_l0p07,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,completed,a803619122414456,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0002_a803619122414456.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s44_05-03_20-45/metrics_20260503_204529_nicme_v3_hybrid.json,checkpoints/camera_ready_smoke_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s44,argmax,0.25,0.765625,0.04875,0.4875,0.709375,0.709375,0.6847195996768527,7,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:44:43,2026-05-03T20:45:29,45.9,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0002_a803619122414456.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0002_a803619122414456.stderr.log,0,
3,smoke,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.4,0.25,completed,4876e24f533f2751,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0003_4876e24f533f2751.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_nicme_v2_hybrid_pretty_lr5e5_s44_05-03_20-46/metrics_20260503_204614_nicme_hybrid.json,checkpoints/camera_ready_smoke_nicme_v2_hybrid_pretty_lr5e5_s44,argmax,0.4375,0.78125,0.060312500000000005,0.603125,0.625,0.625,0.5613505221804937,9,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:45:29,2026-05-03T20:46:15,45.7,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0003_4876e24f533f2751.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0003_4876e24f533f2751.stderr.log,0,
4,smoke,cost_weighted_ce,cost_weighted_ce,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,e453887c93897b3a,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0004_e453887c93897b3a.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_cost_weighted_ce_lr5e5_s44_05-03_20-46/metrics_20260503_204700_cost_weighted_ce.json,checkpoints/camera_ready_smoke_cost_weighted_ce_lr5e5_s44,argmax,0.84375,0.9296875,0.0546875,0.546875,0.53125,0.53125,0.41144874676619025,3,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:46:15,2026-05-03T20:47:00,45.4,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0004_e453887c93897b3a.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0004_e453887c93897b3a.stderr.log,0,
5,smoke,menon_logit_adjusted,menon_logit_adjusted,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,be667a2ae6c2154e,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0005_be667a2ae6c2154e.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_menon_logit_adjusted_lr5e5_s44_05-03_20-47/metrics_20260503_204750_menon_logit_adjusted.json,checkpoints/camera_ready_smoke_menon_logit_adjusted_lr5e5_s44,argmax,0.3125,0.7109375,0.0765625,0.765625,0.7125,0.7125,0.6803245483949987,17,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:47:00,2026-05-03T20:47:51,50.4,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0005_be667a2ae6c2154e.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0005_be667a2ae6c2154e.stderr.log,0,
6,smoke,balanced_softmax,balanced_softmax,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,01288362ef5c4533,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0006_01288362ef5c4533.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_balanced_softmax_lr5e5_s44_05-03_20-48/metrics_20260503_204835_balanced_softmax.json,checkpoints/camera_ready_smoke_balanced_softmax_lr5e5_s44,argmax,0.3125,0.7109375,0.0765625,0.765625,0.7125,0.7125,0.6803245483949987,17,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:47:51,2026-05-03T20:48:35,44.7,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0006_01288362ef5c4533.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0006_01288362ef5c4533.stderr.log,0,
7,smoke,class_balanced_focal,class_balanced_focal,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,6bd6fb1ab01796d5,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0007_6bd6fb1ab01796d5.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_class_balanced_focal_lr5e5_s44_05-03_20-49/metrics_20260503_204921_class_balanced_focal.json,checkpoints/camera_ready_smoke_class_balanced_focal_lr5e5_s44,argmax,0.3125,0.734375,0.06875,0.6875,0.734375,0.734375,0.7063551340788804,15,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:48:35,2026-05-03T20:49:21,45.9,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0007_6bd6fb1ab01796d5.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0007_6bd6fb1ab01796d5.stderr.log,0,
8,smoke,ldam_drw,ldam_drw,camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,completed,70ad18135fa3355b,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0008_70ad18135fa3355b.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_ldam_drw_lr5e5_s44_05-03_20-49/metrics_20260503_205006_ldam_drw.json,checkpoints/camera_ready_smoke_ldam_drw_lr5e5_s44,argmax,0.0,0.46875,0.11781250000000001,1.178125,0.665625,0.665625,0.6283241329755602,30,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:49:21,2026-05-03T20:50:07,45.3,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0008_70ad18135fa3355b.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0008_70ad18135fa3355b.stderr.log,0,
9,smoke,ap_csada,ap_csada,camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,8a160877740b2dd1,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0009_8a160877740b2dd1.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_ap_csada_lr5e5_s44_05-03_20-50/metrics_20260503_205052_ap_csada.json,checkpoints/camera_ready_smoke_ap_csada_lr5e5_s44,argmax,0.03125,0.6328125,0.042499999999999996,0.425,0.659375,0.659375,0.6020446603205224,3,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:50:07,2026-05-03T20:50:52,45.3,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0009_8a160877740b2dd1.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0009_8a160877740b2dd1.stderr.log,0,
10,smoke,sosr_cnn,sosr_cnn,camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,completed,2b72f58fdc892804,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/configs/0010_2b72f58fdc892804.json,results/pmi10_sota_convnext_base_test/camera_ready_smoke_sosr_cnn_lr5e5_s44_05-03_20-51/metrics_20260503_205137_sosr_cnn.json,checkpoints/camera_ready_smoke_sosr_cnn_lr5e5_s44,sosr_argmin,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-03T20:50:52,2026-05-03T20:51:38,45.7,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0010_2b72f58fdc892804.stdout.log,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/smoke/logs/0010_2b72f58fdc892804.stderr.log,0,
