seed,run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
42,1,dry-run,nicme_run95_a0p5_l0p07,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,planned,0be27cf0a46da523,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0001_0be27cf0a46da523.json,,checkpoints/top5_dry-run_nicme_run95_a0p5_l0p07_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
42,2,dry-run,nicme_run69_a0p2_l0p09,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.2,0.09,planned,f9192e9512a63d91,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0002_f9192e9512a63d91.json,,checkpoints/top5_dry-run_nicme_run69_a0p2_l0p09_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
42,3,dry-run,nicme_run20_a0p06_l0p03,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.06,0.03,planned,7a4f82ccc1a65d69,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0003_7a4f82ccc1a65d69.json,,checkpoints/top5_dry-run_nicme_run20_a0p06_l0p03_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
42,4,dry-run,nicme_run50_a0p09_l0p07,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,c11f95216ee35232,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0004_c11f95216ee35232.json,,checkpoints/top5_dry-run_nicme_run50_a0p09_l0p07_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
42,5,dry-run,nicme_run53_a0p09_l0p2,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.2,planned,81d992156cb84975,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0005_81d992156cb84975.json,,checkpoints/top5_dry-run_nicme_run53_a0p09_l0p2_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
43,1,dry-run,nicme_run95_a0p5_l0p07,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,planned,511007ccbf0289c8,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0001_511007ccbf0289c8.json,,checkpoints/top5_dry-run_nicme_run95_a0p5_l0p07_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
43,2,dry-run,nicme_run69_a0p2_l0p09,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.2,0.09,planned,82e329d9856d04bd,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0002_82e329d9856d04bd.json,,checkpoints/top5_dry-run_nicme_run69_a0p2_l0p09_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
43,3,dry-run,nicme_run20_a0p06_l0p03,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.06,0.03,planned,e82f19471525f6d6,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0003_e82f19471525f6d6.json,,checkpoints/top5_dry-run_nicme_run20_a0p06_l0p03_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
43,4,dry-run,nicme_run50_a0p09_l0p07,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,fc874bd1f36da00b,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0004_fc874bd1f36da00b.json,,checkpoints/top5_dry-run_nicme_run50_a0p09_l0p07_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
43,5,dry-run,nicme_run53_a0p09_l0p2,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.2,planned,68ac64b3c8801d8a,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0005_68ac64b3c8801d8a.json,,checkpoints/top5_dry-run_nicme_run53_a0p09_l0p2_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
44,1,dry-run,nicme_run95_a0p5_l0p07,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,planned,e6cbe5f29701b6e6,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0001_e6cbe5f29701b6e6.json,,checkpoints/top5_dry-run_nicme_run95_a0p5_l0p07_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
44,2,dry-run,nicme_run69_a0p2_l0p09,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.2,0.09,planned,b70f4f5af91f0cef,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0002_b70f4f5af91f0cef.json,,checkpoints/top5_dry-run_nicme_run69_a0p2_l0p09_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
44,3,dry-run,nicme_run20_a0p06_l0p03,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.06,0.03,planned,8a28aa1130fc12cb,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0003_8a28aa1130fc12cb.json,,checkpoints/top5_dry-run_nicme_run20_a0p06_l0p03_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
44,4,dry-run,nicme_run50_a0p09_l0p07,nicme_top5_alpha_lambda_multiseed,nicme_top5_alpha_lambda_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,ea5a217367536676,/mnt/storage/github/NICME/results/pmi10_nicme_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0004_ea5a217367536676.json,,checkpoints/top5_dry-run_nicme_run50_a0p09_l0p07_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
