alpha,cs_lambda,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_balanced_accuracy,target_recall_min,normalized_atc,balanced_accuracy,critical_pair_error_count,status,metric_path
0.4,0.2,1.0,1.0,0.0,1.0,0.90625,0.005,0.978125,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p2_lr5e5_s42_05-03_07-41/metrics_20260503_074109_nicme_v3_hybrid.json
0.5,0.07,1.0,1.0,0.0003225806451612903,0.9967741935483871,0.96875,0.0046875,0.98125,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s42_05-03_08-09/metrics_20260503_081005_nicme_v3_hybrid.json
0.4,0.09,1.0,1.0,0.0006451612903225806,0.9935483870967742,0.9375,0.0046875,0.98125,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p09_lr5e5_s42_05-03_07-30/metrics_20260503_073050_nicme_v3_hybrid.json
0.04,0.02,1.0,1.0,0.000967741935483871,0.9903225806451612,0.9375,0.0109375,0.9625,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p02_lr5e5_s42_05-03_00-47/metrics_20260503_004807_nicme_v3_hybrid.json
0.09,0.09,1.0,1.0,0.000967741935483871,0.9903225806451612,0.9375,0.010624999999999999,0.965625,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p09_lr5e5_s42_05-03_04-42/metrics_20260503_044256_nicme_v3_hybrid.json
0.4,0.03,1.0,1.0,0.000967741935483871,0.9903225806451612,0.9375,0.0078125,0.971875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p03_lr5e5_s42_05-03_07-13/metrics_20260503_071319_nicme_v3_hybrid.json
0.6,0.04,1.0,1.0,0.000967741935483871,0.9903225806451612,0.90625,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p04_lr5e5_s42_05-03_08-43/metrics_20260503_084327_nicme_v3_hybrid.json
0.3,0.2,1.0,1.0,0.0012903225806451613,0.9870967741935484,0.90625,0.0084375,0.971875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p2_lr5e5_s42_05-03_06-57/metrics_20260503_065756_nicme_v3_hybrid.json
0.2,0.09,1.0,1.0,0.001935483870967742,0.9806451612903226,0.96875,0.0046875,0.98125,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p09_lr5e5_s42_05-03_06-09/metrics_20260503_060923_nicme_v3_hybrid.json
0.3,0.09,1.0,1.0,0.001935483870967742,0.9806451612903226,0.9375,0.0109375,0.9625,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p09_lr5e5_s42_05-03_06-47/metrics_20260503_064729_nicme_v3_hybrid.json
0.5,0.2,1.0,1.0,0.0032258064516129032,0.967741935483871,0.9375,0.0115625,0.95625,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p2_lr5e5_s42_05-03_08-23/metrics_20260503_082321_nicme_v3_hybrid.json
0.06,0.2,0.967741935483871,0.9919354838709677,0.0006451612903225806,0.9935483870967742,0.90625,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p2_lr5e5_s42_05-03_02-47/metrics_20260503_024729_nicme_v3_hybrid.json
0.09,0.05,0.967741935483871,0.9919354838709677,0.0006451612903225806,0.9935483870967742,0.90625,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p05_lr5e5_s42_05-03_04-32/metrics_20260503_043210_nicme_v3_hybrid.json
0.1,0.1,0.967741935483871,0.9919354838709677,0.0006451612903225806,0.9935483870967742,0.90625,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p1_lr5e5_s42_05-03_05-31/metrics_20260503_053131_nicme_v3_hybrid.json
0.1,0.3,0.967741935483871,0.9919354838709677,0.0006451612903225806,0.9935483870967742,0.875,0.0084375,0.971875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p3_lr5e5_s42_05-03_05-40/metrics_20260503_054105_nicme_v3_hybrid.json
0.5,0.03,0.967741935483871,0.9919354838709677,0.0006451612903225806,0.9935483870967742,0.84375,0.008749999999999999,0.96875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p03_lr5e5_s42_05-03_07-56/metrics_20260503_075617_nicme_v3_hybrid.json
0.04,0.03,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p03_lr5e5_s42_05-03_00-53/metrics_20260503_005311_nicme_v3_hybrid.json
0.04,0.04,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p04_lr5e5_s42_05-03_00-58/metrics_20260503_005819_nicme_v3_hybrid.json
0.07,0.04,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p04_lr5e5_s42_05-03_03-05/metrics_20260503_030513_nicme_v3_hybrid.json
0.07,0.05,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p05_lr5e5_s42_05-03_03-10/metrics_20260503_031021_nicme_v3_hybrid.json
0.07,0.09,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p09_lr5e5_s42_05-03_03-20/metrics_20260503_032046_nicme_v3_hybrid.json
0.07,0.1,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p1_lr5e5_s42_05-03_03-25/metrics_20260503_032553_nicme_v3_hybrid.json
0.09,0.02,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p02_lr5e5_s42_05-03_04-18/metrics_20260503_041849_nicme_v3_hybrid.json
0.09,0.07,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.9375,0.0046875,0.98125,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p07_lr5e5_s42_05-03_04-37/metrics_20260503_043718_nicme_v3_hybrid.json
0.09,0.2,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.9375,0.0046875,0.98125,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p2_lr5e5_s42_05-03_04-53/metrics_20260503_045346_nicme_v3_hybrid.json
0.1,0.09,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.84375,0.01125,0.965625,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p09_lr5e5_s42_05-03_05-26/metrics_20260503_052619_nicme_v3_hybrid.json
0.2,0.05,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.9375,0.0071874999999999994,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p05_lr5e5_s42_05-03_05-59/metrics_20260503_055950_nicme_v3_hybrid.json
0.5,0.3,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.9375,0.008125,0.96875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p3_lr5e5_s42_05-03_08-28/metrics_20260503_082814_nicme_v3_hybrid.json
0.6,0.02,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.9375,0.0078125,0.971875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p02_lr5e5_s42_05-03_08-32/metrics_20260503_083306_nicme_v3_hybrid.json
0.6,0.03,0.967741935483871,0.9919354838709677,0.000967741935483871,0.9903225806451612,0.90625,0.013125000000000001,0.96875,4,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p6_l0p03_lr5e5_s42_05-03_08-38/metrics_20260503_083813_nicme_v3_hybrid.json
0.04,0.07,0.967741935483871,0.9919354838709677,0.0012903225806451613,0.9870967741935484,0.90625,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p07_lr5e5_s42_05-03_01-08/metrics_20260503_010906_nicme_v3_hybrid.json
0.06,0.03,0.967741935483871,0.9919354838709677,0.0012903225806451613,0.9870967741935484,0.9375,0.0046875,0.98125,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p03_lr5e5_s42_05-03_02-19/metrics_20260503_021937_nicme_v3_hybrid.json
