run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.02,planned,b850e8a50f595118,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0001_b850e8a50f595118.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p02_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
2,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.03,planned,e2b22635295fbd7b,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0002_e2b22635295fbd7b.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p03_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
3,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.04,planned,3807e50d9c36e712,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0003_3807e50d9c36e712.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p04_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
4,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.05,planned,4adce4702cae707e,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0004_4adce4702cae707e.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p05_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
5,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.07,planned,c087df2517c41007,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0005_c087df2517c41007.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p07_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
6,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.09,planned,79cc43a1352a37ac,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0006_79cc43a1352a37ac.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p09_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
7,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.1,planned,110df2f84bfc20c8,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0007_110df2f84bfc20c8.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p1_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
8,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.2,planned,c8df5487696acef3,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0008_c8df5487696acef3.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p2_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
9,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.04,0.3,planned,d5231cea387bef12,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0009_d5231cea387bef12.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p04_l0p3_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
10,grid-dry-run,nicme_v3_hybrid_pretty,nicme_v3_pretty_alpha_lambda_grid,nicme_v3_pretty_alpha_lambda_grid,lr5e5,5e-05,5e-05,0.05,0.02,planned,98641d269815ed71,/mnt/storage/github/NICME/results/pmi10_nicme_v3_pretty_alpha_lambda_lr5e5_20260503/grid-dry-run/configs/0010_98641d269815ed71.json,,checkpoints/grid-dry-run_nicme_v3_hybrid_pretty_a0p05_l0p02_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
