seed,method,display_name,hpo_run,pilot_rank,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
42,nicme_v3_run95_a0p5_l0p07,"NICME v3 run 95 (alpha=0.5, lambda=0.07)",95,1,argmax,0.90625,0.96875,0.009375,0.09375,0.9625,0.9625,0.9627380603293597,2,5e-05,5e-05,0.5,0.07,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run95_a0p5_l0p07_lr5e5_s42_05-04_03-20/metrics_20260504_032012_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_bfaaba78ab4e2468.json
42,nicme_v3_run69_a0p2_l0p09,"NICME v3 run 69 (alpha=0.2, lambda=0.09)",69,2,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,5e-05,5e-05,0.2,0.09,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run69_a0p2_l0p09_lr5e5_s42_05-04_03-24/metrics_20260504_032505_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0002_074e686c5e47d2b6.json
42,nicme_v3_run20_a0p06_l0p03,"NICME v3 run 20 (alpha=0.06, lambda=0.03)",20,3,argmax,0.90625,0.96875,0.0090625,0.090625,0.965625,0.965625,0.9658513051622635,2,5e-05,5e-05,0.06,0.03,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run20_a0p06_l0p03_lr5e5_s42_05-04_03-29/metrics_20260504_032915_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0003_44f9a29df22c66cc.json
42,nicme_v3_run50_a0p09_l0p07,"NICME v3 run 50 (alpha=0.09, lambda=0.07)",50,4,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9749878548870484,2,5e-05,5e-05,0.09,0.07,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run50_a0p09_l0p07_lr5e5_s42_05-04_03-34/metrics_20260504_033423_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0004_6650dc353d5c6925.json
42,nicme_v3_run53_a0p09_l0p2,"NICME v3 run 53 (alpha=0.09, lambda=0.2)",53,5,argmax,0.90625,0.96875,0.0109375,0.109375,0.946875,0.946875,0.9457332724052767,2,5e-05,5e-05,0.09,0.2,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run53_a0p09_l0p2_lr5e5_s42_05-04_03-38/metrics_20260504_033829_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0005_c9b56ca580b701c2.json
43,nicme_v3_run95_a0p5_l0p07,"NICME v3 run 95 (alpha=0.5, lambda=0.07)",95,1,argmax,0.875,0.921875,0.041875,0.41875,0.79375,0.79375,0.765835148290726,8,5e-05,5e-05,0.5,0.07,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run95_a0p5_l0p07_lr5e5_s43_05-04_03-40/metrics_20260504_034107_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_46c6f7d60f5394e3.json
43,nicme_v3_run69_a0p2_l0p09,"NICME v3 run 69 (alpha=0.2, lambda=0.09)",69,2,argmax,0.8125,0.9296875,0.0134375,0.134375,0.965625,0.965625,0.9653690951953736,4,5e-05,5e-05,0.2,0.09,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run69_a0p2_l0p09_lr5e5_s43_05-04_03-44/metrics_20260504_034458_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0002_7b942ca0b89ea9f5.json
43,nicme_v3_run20_a0p06_l0p03,"NICME v3 run 20 (alpha=0.06, lambda=0.03)",20,3,argmax,0.9375,0.9765625,0.005,0.05,0.978125,0.978125,0.978298839093555,1,5e-05,5e-05,0.06,0.03,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run20_a0p06_l0p03_lr5e5_s43_05-04_03-50/metrics_20260504_035038_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0003_0f63ea91665f7531.json
43,nicme_v3_run50_a0p09_l0p07,"NICME v3 run 50 (alpha=0.09, lambda=0.07)",50,4,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751172894603926,2,5e-05,5e-05,0.09,0.07,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run50_a0p09_l0p07_lr5e5_s43_05-04_03-55/metrics_20260504_035539_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0004_e37d530ae9f639a7.json
43,nicme_v3_run53_a0p09_l0p2,"NICME v3 run 53 (alpha=0.09, lambda=0.2)",53,5,argmax,0.96875,0.96875,0.0115625,0.115625,0.9625,0.9625,0.9627406286242494,3,5e-05,5e-05,0.09,0.2,results/pmi10_sota_convnext_base_test/top5_run_nicme_v3_run53_a0p09_l0p2_lr5e5_s43_05-04_03-59/metrics_20260504_035930_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_nicme_v3_top5_alpha_lambda_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0005_77e70a77338cf621.json
