seed,per_seed_rank,method,display_name,hpo_run,alpha,cs_lambda,target_recall_min,normalized_atc,balanced_accuracy,macro_f1,critical_pair_error_count
42,1,nicme_v3_run69_a0p2_l0p09,"NICME v3 run 69 (alpha=0.2, lambda=0.09)",69,0.2,0.09,0.90625,0.008125,0.975,0.9751242359189518,2
42,2,nicme_v3_run50_a0p09_l0p07,"NICME v3 run 50 (alpha=0.09, lambda=0.07)",50,0.09,0.07,0.90625,0.008125,0.975,0.9749878548870484,2
42,3,nicme_v3_run20_a0p06_l0p03,"NICME v3 run 20 (alpha=0.06, lambda=0.03)",20,0.06,0.03,0.90625,0.0090625,0.965625,0.9658513051622635,2
42,4,nicme_v3_run95_a0p5_l0p07,"NICME v3 run 95 (alpha=0.5, lambda=0.07)",95,0.5,0.07,0.90625,0.009375,0.9625,0.9627380603293597,2
42,5,nicme_v3_run53_a0p09_l0p2,"NICME v3 run 53 (alpha=0.09, lambda=0.2)",53,0.09,0.2,0.90625,0.0109375,0.946875,0.9457332724052767,2
43,1,nicme_v3_run53_a0p09_l0p2,"NICME v3 run 53 (alpha=0.09, lambda=0.2)",53,0.09,0.2,0.96875,0.0115625,0.9625,0.9627406286242494,3
43,2,nicme_v3_run20_a0p06_l0p03,"NICME v3 run 20 (alpha=0.06, lambda=0.03)",20,0.06,0.03,0.9375,0.005,0.978125,0.978298839093555,1
43,3,nicme_v3_run50_a0p09_l0p07,"NICME v3 run 50 (alpha=0.09, lambda=0.07)",50,0.09,0.07,0.90625,0.008125,0.975,0.9751172894603926,2
43,4,nicme_v3_run95_a0p5_l0p07,"NICME v3 run 95 (alpha=0.5, lambda=0.07)",95,0.5,0.07,0.875,0.041875,0.79375,0.765835148290726,8
43,5,nicme_v3_run69_a0p2_l0p09,"NICME v3 run 69 (alpha=0.2, lambda=0.09)",69,0.2,0.09,0.8125,0.0134375,0.965625,0.9653690951953736,4
44,1,nicme_v3_run50_a0p09_l0p07,"NICME v3 run 50 (alpha=0.09, lambda=0.07)",50,0.09,0.07,0.9375,0.005,0.978125,0.9783492053939213,1
44,2,nicme_v3_run53_a0p09_l0p2,"NICME v3 run 53 (alpha=0.09, lambda=0.2)",53,0.09,0.2,0.9375,0.00625,0.965625,0.9662262692504628,1
44,3,nicme_v3_run20_a0p06_l0p03,"NICME v3 run 20 (alpha=0.06, lambda=0.03)",20,0.06,0.03,0.9375,0.008125,0.946875,0.9469547249072056,1
44,4,nicme_v3_run95_a0p5_l0p07,"NICME v3 run 95 (alpha=0.5, lambda=0.07)",95,0.5,0.07,0.90625,0.005625,0.971875,0.9719567887309821,1
44,5,nicme_v3_run69_a0p2_l0p09,"NICME v3 run 69 (alpha=0.2, lambda=0.09)",69,0.2,0.09,0.90625,0.006562500000000001,0.9625,0.9627395910566967,1
