run_id,phase,backbone,loss,seed,status,config_hash,config_path,metric_path,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,screen,convnext_tiny.fb_in22k_ft_in1k,ce,42,completed,00b0315d792c9b3e,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0001_00b0315d792c9b3e.json,results/pmi10_convnext_tiny_fb_in22k_ft_in1k_test/screen_convnext_tiny_fb_in22k_ft_in1k_ce_s42_05-01_12-48/metrics_20260501_124911_cross_entropy.json,0.995,0.99875,0.0011854360711261642,0.011854360711261643,0.9956801986981842,0.995766299745978,0.9937310091857627,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T12:36:14,2026-05-01T12:49:11,777.7,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0001_00b0315d792c9b3e.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0001_00b0315d792c9b3e.stderr.log,0,
2,screen,convnext_tiny.fb_in22k_ft_in1k,nicme_hybrid,42,completed,9d25420d71d8223e,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0002_9d25420d71d8223e.json,results/pmi10_convnext_tiny_fb_in22k_ft_in1k_test/screen_convnext_tiny_fb_in22k_ft_in1k_nicme_hybrid_s42_05-01_12-57/metrics_20260501_125754_nicme_hybrid.json,0.96,0.99,0.004403048264182896,0.04403048264182896,0.9860229242306083,0.9864521591871296,0.9807291107055376,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T12:49:11,2026-05-01T12:57:54,522.9,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0002_9d25420d71d8223e.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0002_9d25420d71d8223e.stderr.log,0,
3,screen,convnext_small.fb_in22k_ft_in1k,ce,42,completed,0726c3dd1e8d68a9,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0003_0726c3dd1e8d68a9.json,results/pmi10_convnext_small_fb_in22k_ft_in1k_test/screen_convnext_small_fb_in22k_ft_in1k_ce_s42_05-01_13-05/metrics_20260501_130613_cross_entropy.json,0.955,0.971762664646641,0.006519898391193904,0.06519898391193904,0.9846311247244138,0.9864521591871296,0.9811254408264662,7,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T12:57:54,2026-05-01T13:06:13,499.1,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0003_0726c3dd1e8d68a9.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0003_0726c3dd1e8d68a9.stderr.log,0,
4,screen,convnext_small.fb_in22k_ft_in1k,nicme_hybrid,42,completed,1e35831eab5232fb,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0004_1e35831eab5232fb.json,results/pmi10_convnext_small_fb_in22k_ft_in1k_test/screen_convnext_small_fb_in22k_ft_in1k_nicme_hybrid_s42_05-01_13-15/metrics_20260501_131530_nicme_hybrid.json,0.9487179487179487,0.9846794871794873,0.004233700254022015,0.04233700254022015,0.9665682357090748,0.9771380186282811,0.969787366767487,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T13:06:13,2026-05-01T13:15:31,557.2,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0004_1e35831eab5232fb.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0004_1e35831eab5232fb.stderr.log,0,
5,screen,convnext_base.fb_in22k_ft_in1k,ce,42,completed,861bf40d5c7dd6b9,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0005_861bf40d5c7dd6b9.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/screen_convnext_base_fb_in22k_ft_in1k_ce_s42_05-01_13-26/metrics_20260501_132631_cross_entropy.json,0.98,0.9924874371859296,0.003810330228619814,0.03810330228619814,0.9941115099306053,0.9923793395427604,0.9878601550155077,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T13:15:31,2026-05-01T13:26:31,660.7,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0005_861bf40d5c7dd6b9.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0005_861bf40d5c7dd6b9.stderr.log,0,
6,screen,convnext_base.fb_in22k_ft_in1k,nicme_hybrid,42,completed,ddf1aff8131034bf,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0006_ddf1aff8131034bf.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/screen_convnext_base_fb_in22k_ft_in1k_nicme_hybrid_s42_05-01_13-42/metrics_20260501_134304_nicme_hybrid.json,0.9949748743718593,0.9974937185929649,0.0010160880609652837,0.010160880609652836,0.9978070112467098,0.9974597798475868,0.9963328605072537,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T13:26:31,2026-05-01T13:43:05,993.5,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0006_ddf1aff8131034bf.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0006_ddf1aff8131034bf.stderr.log,0,
7,screen,convnext_tiny.dinov3_lvd1689m,ce,42,completed,ef9a19b71195c345,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0007_ef9a19b71195c345.json,results/pmi10_convnext_tiny_dinov3_lvd1689m_test/screen_convnext_tiny_dinov3_lvd1689m_ce_s42_05-01_13-51/metrics_20260501_135153_cross_entropy.json,0.949748743718593,0.9692124133903596,0.015664690939881456,0.15664690939881457,0.9449162657429699,0.9483488569009314,0.9420904943404127,14,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T13:43:05,2026-05-01T13:51:53,528.3,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0007_ef9a19b71195c345.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0007_ef9a19b71195c345.stderr.log,0,
8,screen,convnext_tiny.dinov3_lvd1689m,nicme_hybrid,42,completed,f32c33cca3134d57,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0008_f32c33cca3134d57.json,results/pmi10_convnext_tiny_dinov3_lvd1689m_test/screen_convnext_tiny_dinov3_lvd1689m_nicme_hybrid_s42_05-01_13-56/metrics_20260501_135639_nicme_hybrid.json,0.8064516129032258,0.8517631738094941,0.03573243014394581,0.3573243014394581,0.8912563948833808,0.9043183742591024,0.8741602868809875,35,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T13:51:53,2026-05-01T13:56:40,286.8,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0008_f32c33cca3134d57.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0008_f32c33cca3134d57.stderr.log,0,
9,screen,convnext_small.dinov3_lvd1689m,ce,42,completed,0051f5364463f165,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0009_0051f5364463f165.json,results/pmi10_convnext_small_dinov3_lvd1689m_test/screen_convnext_small_dinov3_lvd1689m_ce_s42_05-01_14-02/metrics_20260501_140226_cross_entropy.json,0.8717948717948718,0.9268071228765831,0.014817950889077053,0.14817950889077053,0.8644787298731907,0.934801016088061,0.846179021070208,12,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T13:56:40,2026-05-01T14:02:26,346.3,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0009_0051f5364463f165.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0009_0051f5364463f165.stderr.log,0,
10,screen,convnext_small.dinov3_lvd1689m,nicme_hybrid,42,completed,e8949d7ec68865ce,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0010_e8949d7ec68865ce.json,results/pmi10_convnext_small_dinov3_lvd1689m_test/screen_convnext_small_dinov3_lvd1689m_nicme_hybrid_s42_05-01_14-11/metrics_20260501_141220_nicme_hybrid.json,0.967741935483871,0.9830252274607114,0.0036409822184589333,0.03640982218458933,0.990263704374979,0.9923793395427604,0.9888186331214435,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T14:02:26,2026-05-01T14:12:20,594.3,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0010_e8949d7ec68865ce.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0010_e8949d7ec68865ce.stderr.log,0,
11,screen,vit_small_patch16_dinov3.lvd1689m,ce,42,completed,de6b65b502d98101,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0011_de6b65b502d98101.json,results/pmi10_vit_small_patch16_dinov3_lvd1689m_test/screen_vit_small_patch16_dinov3_lvd1689m_ce_s42_05-01_14-22/metrics_20260501_142241_cross_entropy.json,0.9354838709677419,0.9573004549214226,0.005419136325148179,0.05419136325148179,0.9662535153019025,0.9805249788314987,0.9708223695734997,5,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T14:12:20,2026-05-01T14:22:42,621.5,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0011_de6b65b502d98101.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0011_de6b65b502d98101.stderr.log,0,
12,screen,vit_small_patch16_dinov3.lvd1689m,nicme_hybrid,42,completed,4066ba6bbc0ef8be,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0012_4066ba6bbc0ef8be.json,results/pmi10_vit_small_patch16_dinov3_lvd1689m_test/screen_vit_small_patch16_dinov3_lvd1689m_nicme_hybrid_s42_05-01_14-33/metrics_20260501_143420_nicme_hybrid.json,0.9354838709677419,0.9713646863349003,0.006350550381033023,0.06350550381033022,0.977129949843705,0.9822184589331076,0.9758846099029734,6,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T14:22:42,2026-05-01T14:34:20,698.2,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0012_4066ba6bbc0ef8be.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0012_4066ba6bbc0ef8be.stderr.log,0,
13,screen,vit_base_patch16_dinov3.lvd1689m,ce,42,completed,af241f941dcf821e,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0013_af241f941dcf821e.json,results/pmi10_vit_base_patch16_dinov3_lvd1689m_test/screen_vit_base_patch16_dinov3_lvd1689m_ce_s42_05-01_14-44/metrics_20260501_144459_cross_entropy.json,0.95,0.9706415140217215,0.011346316680779001,0.11346316680779,0.9801087233402033,0.9779847586790855,0.9669161556121099,12,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T14:34:20,2026-05-01T14:44:59,639.3,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0013_af241f941dcf821e.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0013_af241f941dcf821e.stderr.log,0,
14,screen,vit_base_patch16_dinov3.lvd1689m,nicme_hybrid,42,completed,1387b6667a80714b,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0014_1387b6667a80714b.json,results/pmi10_vit_base_patch16_dinov3_lvd1689m_test/screen_vit_base_patch16_dinov3_lvd1689m_nicme_hybrid_s42_05-01_15-00/metrics_20260501_150042_nicme_hybrid.json,0.964824120603015,0.9704812576114651,0.010584250635055038,0.10584250635055038,0.9824628010918625,0.9839119390347163,0.9769979117464158,12,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T14:44:59,2026-05-01T15:00:43,943.4,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0014_1387b6667a80714b.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0014_1387b6667a80714b.stderr.log,0,
15,screen,vit_base_patch16_224.augreg_in21k_ft_in1k,ce,42,completed,0e66d4f49834f9ab,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0015_0e66d4f49834f9ab.json,results/pmi10_vit_base_patch16_224_augreg_in21k_ft_in1k_test/screen_vit_base_patch16_224_augreg_in21k_ft_in1k_ce_s42_05-01_15-08/metrics_20260501_150901_cross_entropy.json,0.967741935483871,0.9742438204255355,0.014563928873835733,0.14563928873835733,0.9332406553339535,0.9288738357324301,0.8980539567524712,10,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T15:00:43,2026-05-01T15:09:01,498.6,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0015_0e66d4f49834f9ab.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0015_0e66d4f49834f9ab.stderr.log,0,
16,screen,vit_base_patch16_224.augreg_in21k_ft_in1k,nicme_hybrid,42,completed,9cf0542e5ced466c,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0016_9cf0542e5ced466c.json,results/pmi10_vit_base_patch16_224_augreg_in21k_ft_in1k_test/screen_vit_base_patch16_224_augreg_in21k_ft_in1k_nicme_hybrid_s42_05-01_15-17/metrics_20260501_151722_nicme_hybrid.json,0.9354838709677419,0.9699481485176087,0.01100762066045724,0.1100762066045724,0.9476298160615044,0.9491955969517358,0.9202713447788435,8,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T15:09:01,2026-05-01T15:17:23,501.4,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0016_9cf0542e5ced466c.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0016_9cf0542e5ced466c.stderr.log,0,
17,screen,vit_base_patch16_224.mae,ce,42,completed,940f5157517c62ec,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/configs/0017_940f5157517c62ec.json,results/pmi10_vit_base_patch16_224_mae_test/screen_vit_base_patch16_224_mae_ce_s42_05-01_15-29/metrics_20260501_152934_cross_entropy.json,0.865,0.9598397435897437,0.012785774767146485,0.12785774767146485,0.9696775880747719,0.9635901778154107,0.9503864536043996,12,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-01T15:17:23,2026-05-01T15:29:35,732.1,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0017_940f5157517c62ec.stdout.log,/mnt/storage/github/NICME/results/pmi10_no_cal_20260501/screen/logs/0017_940f5157517c62ec.stderr.log,0,
