method,role,source,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,metric_path
ap_csada,ap_csada,sota_baseline_run,argmax,0.9375,0.9765625,0.005,0.05,0.978125,0.978125,0.9783492053939213,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ap_csada_s42_05-02_12-22/metrics_20260502_122246_ap_csada.json
ce,ce,nicme_v3_phase3_final,argmax,0.9375,0.9765625,0.0059375,0.059375,0.96875,0.96875,0.9689267858884847,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/final_convnext_base_fb_in22k_ft_in1k_ce_matched_ce_s42_locked_05-02_09-00/metrics_20260502_090059_cross_entropy.json
class_balanced_focal,class_balanced_focal,sota_baseline_run,argmax,0.9375,0.9765625,0.006562500000000001,0.065625,0.9625,0.9625,0.963128763224011,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_class_balanced_focal_s42_05-02_12-17/metrics_20260502_121718_class_balanced_focal.json
menon_logit_adjusted,menon_logit_adjusted,sota_baseline_run,argmax,0.9375,0.96875,0.008125,0.08125,0.975,0.975,0.975351457787416,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_menon_logit_adjusted_s42_05-02_12-07/metrics_20260502_120724_menon_logit_adjusted.json
ce_cost_min_inference,ce_cost_min_inference,sota_baseline_run,cost_min,0.9375,0.96875,0.0084375,0.084375,0.94375,0.94375,0.9420282551867226,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_s42_05-02_11-57/metrics_20260502_115709_cross_entropy.json
ce_anchor,ce_anchor,sota_baseline_run,argmax,0.9375,0.96875,0.008749999999999999,0.0875,0.96875,0.96875,0.9689085686548582,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ce_anchor_s42_05-02_11-57/metrics_20260502_115709_cross_entropy.json
cost_weighted_ce,cost_weighted_ce,sota_baseline_run,argmax,0.9375,0.96875,0.010312499999999999,0.103125,0.946875,0.946875,0.945968407116992,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_cost_weighted_ce_s42_05-02_12-02/metrics_20260502_120218_cost_weighted_ce.json
csada,csada,sota_baseline_run,argmax,0.9375,0.9765625,0.014687500000000001,0.146875,0.88125,0.88125,0.8580274975318909,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_csada_s42_05-02_12-26/metrics_20260502_122643_csada.json
nicme_v3_hybrid,nicme_v3_hybrid,nicme_v3_phase3_final,argmax,0.90625,0.96875,0.0078125,0.078125,0.978125,0.978125,0.9782476358165454,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/final_convnext_base_fb_in22k_ft_in1k_nicme_v3_best_nicme_v3_hybrid_s42_locked_05-02_08-55/metrics_20260502_085550_nicme_v3_hybrid.json
ce,ce,nicme_v3_phase3_final,argmax,0.90625,0.96875,0.009375,0.09375,0.9625,0.9625,0.9625088868999703,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/final_convnext_base_fb_in22k_ft_in1k_ce_tuned_ce_s42_locked_05-02_09-06/metrics_20260502_090627_cross_entropy.json
balanced_softmax,balanced_softmax,sota_baseline_run,argmax,0.875,0.9609375,0.0078125,0.078125,0.978125,0.978125,0.9779542110894571,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_balanced_softmax_s42_05-02_12-12/metrics_20260502_121236_balanced_softmax.json
nicme_hybrid,nicme_hybrid,nicme_v3_phase3_final,argmax,0.875,0.953125,0.013750000000000002,0.1375,0.975,0.975,0.9748743048845508,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/final_convnext_base_fb_in22k_ft_in1k_nicme_v2_matched_nicme_hybrid_s42_locked_05-02_09-10/metrics_20260502_091018_nicme_hybrid.json
ldam_drw,ldam_drw,sota_baseline_run,argmax,0.78125,0.921875,0.011875,0.11875,0.953125,0.953125,0.9524970065175289,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_ldam_drw_s42_05-02_12-20/metrics_20260502_122058_ldam_drw.json
sosr_cnn,sosr_cnn,sota_baseline_run,sosr_argmin,0.0,0.0,0.105625,1.05625,0.0,0.0,0.0,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,results/pmi10_sota_convnext_base_test/run_sosr_cnn_s42_05-02_12-24/metrics_20260502_122419_sosr_cnn.json
