run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,dry-run,ce_anchor_pretty,ce_anchor_pretty,pretty_balanced,lr1e5,1e-05,1e-05,planned,51712ce0c25fd426,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0001_51712ce0c25fd426.json,,checkpoints/dry-run_ce_anchor_pretty_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
2,dry-run,nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,pretty_balanced,lr1e5,1e-05,1e-05,planned,40e773066e8547b2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0002_40e773066e8547b2.json,,checkpoints/dry-run_nicme_v3_hybrid_pretty_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
3,dry-run,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,pretty_balanced,lr1e5,1e-05,1e-05,planned,76d76266ae60e747,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0003_76d76266ae60e747.json,,checkpoints/dry-run_nicme_v2_hybrid_pretty_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
4,dry-run,cost_weighted_ce,cost_weighted_ce,pretty_balanced,lr1e5,1e-05,1e-05,planned,32e9e4be880d4be3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0004_32e9e4be880d4be3.json,,checkpoints/dry-run_cost_weighted_ce_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
5,dry-run,menon_logit_adjusted,menon_logit_adjusted,pretty_balanced,lr1e5,1e-05,1e-05,planned,fcd302764df961c2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0005_fcd302764df961c2.json,,checkpoints/dry-run_menon_logit_adjusted_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
6,dry-run,balanced_softmax,balanced_softmax,pretty_balanced,lr1e5,1e-05,1e-05,planned,e99465232653f069,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0006_e99465232653f069.json,,checkpoints/dry-run_balanced_softmax_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
7,dry-run,class_balanced_focal,class_balanced_focal,pretty_balanced,lr1e5,1e-05,1e-05,planned,a00712a35fcca152,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0007_a00712a35fcca152.json,,checkpoints/dry-run_class_balanced_focal_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
8,dry-run,ldam_drw,ldam_drw,pretty_balanced,lr1e5,1e-05,1e-05,planned,98f97ddcf7a9dd31,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0008_98f97ddcf7a9dd31.json,,checkpoints/dry-run_ldam_drw_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
9,dry-run,ap_csada,ap_csada,pretty_balanced,lr1e5,1e-05,1e-05,planned,e2d2da7f671c22a2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0009_e2d2da7f671c22a2.json,,checkpoints/dry-run_ap_csada_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
10,dry-run,sosr_cnn,sosr_cnn,pretty_balanced,lr1e5,1e-05,1e-05,planned,5970920b034c553d,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0010_5970920b034c553d.json,,checkpoints/dry-run_sosr_cnn_lr1e5_s42,sosr_argmin,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
11,dry-run,csada,csada,pretty_balanced,lr1e5,1e-05,1e-05,planned,184d98999eccc084,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr1e5_20260503/dry-run/configs/0011_184d98999eccc084.json,,checkpoints/dry-run_csada_lr1e5_s42,argmax,,,,,,,,,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,,,,,,,
