run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,run,ce_anchor_pretty,ce_anchor_pretty,pretty_balanced,lr5e5,5e-05,5e-05,completed,02007990ad17253a,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0001_02007990ad17253a.json,results/pmi10_sota_convnext_base_test/run_ce_anchor_pretty_lr5e5_s42_05-02_18-34/metrics_20260502_183413_cross_entropy.json,checkpoints/run_ce_anchor_pretty_lr5e5_s42,argmax,0.90625,0.96875,0.0084375,0.084375,0.971875,0.971875,0.9721248882100401,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:28:52,2026-05-02T18:34:13,321.7,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0001_02007990ad17253a.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0001_02007990ad17253a.stderr.log,0,
2,run,nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,pretty_balanced,lr5e5,5e-05,5e-05,completed,d8af9bb6d652ee95,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0002_d8af9bb6d652ee95.json,results/pmi10_sota_convnext_base_test/run_nicme_v3_hybrid_pretty_lr5e5_s42_05-02_18-38/metrics_20260502_183824_nicme_v3_hybrid.json,checkpoints/run_nicme_v3_hybrid_pretty_lr5e5_s42,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:34:13,2026-05-02T18:38:25,251.1,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0002_d8af9bb6d652ee95.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0002_d8af9bb6d652ee95.stderr.log,0,
3,run,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,pretty_balanced,lr5e5,5e-05,5e-05,completed,c75b8d4da5ad1a1f,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0003_c75b8d4da5ad1a1f.json,results/pmi10_sota_convnext_base_test/run_nicme_v2_hybrid_pretty_lr5e5_s42_05-02_18-42/metrics_20260502_184231_nicme_hybrid.json,checkpoints/run_nicme_v2_hybrid_pretty_lr5e5_s42,argmax,0.90625,0.9609375,0.010312499999999999,0.103125,0.975,0.975,0.9750885874877809,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:38:25,2026-05-02T18:42:31,246.8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0003_c75b8d4da5ad1a1f.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0003_c75b8d4da5ad1a1f.stderr.log,0,
4,run,cost_weighted_ce,cost_weighted_ce,pretty_balanced,lr5e5,5e-05,5e-05,completed,1f084bc650e9fbd2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0004_1f084bc650e9fbd2.json,results/pmi10_sota_convnext_base_test/run_cost_weighted_ce_lr5e5_s42_05-02_18-44/metrics_20260502_184504_cost_weighted_ce.json,checkpoints/run_cost_weighted_ce_lr5e5_s42,argmax,0.875,0.9296875,0.04,0.4,0.7125,0.7125,0.6782649537777861,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:42:31,2026-05-02T18:45:04,152.8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0004_1f084bc650e9fbd2.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0004_1f084bc650e9fbd2.stderr.log,0,
5,run,menon_logit_adjusted,menon_logit_adjusted,pretty_balanced,lr5e5,5e-05,5e-05,completed,dcc53c1c892c9296,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0005_dcc53c1c892c9296.json,results/pmi10_sota_convnext_base_test/run_menon_logit_adjusted_lr5e5_s42_05-02_18-49/metrics_20260502_184914_menon_logit_adjusted.json,checkpoints/run_menon_logit_adjusted_lr5e5_s42,argmax,0.90625,0.9609375,0.01125,0.1125,0.971875,0.971875,0.9719984727931887,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:45:04,2026-05-02T18:49:14,250.2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0005_dcc53c1c892c9296.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0005_dcc53c1c892c9296.stderr.log,0,
6,run,balanced_softmax,balanced_softmax,pretty_balanced,lr5e5,5e-05,5e-05,completed,7426a3f5a0823332,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0006_7426a3f5a0823332.json,results/pmi10_sota_convnext_base_test/run_balanced_softmax_lr5e5_s42_05-02_18-54/metrics_20260502_185436_balanced_softmax.json,checkpoints/run_balanced_softmax_lr5e5_s42,argmax,0.90625,0.96875,0.008125,0.08125,0.975,0.975,0.9751242359189518,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:49:14,2026-05-02T18:54:37,322.7,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0006_7426a3f5a0823332.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0006_7426a3f5a0823332.stderr.log,0,
7,run,class_balanced_focal,class_balanced_focal,pretty_balanced,lr5e5,5e-05,5e-05,completed,96c264d0b705d378,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0007_96c264d0b705d378.json,results/pmi10_sota_convnext_base_test/run_class_balanced_focal_lr5e5_s42_05-02_18-58/metrics_20260502_185843_class_balanced_focal.json,checkpoints/run_class_balanced_focal_lr5e5_s42,argmax,0.84375,0.953125,0.0115625,0.115625,0.96875,0.96875,0.9686703611063194,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:54:37,2026-05-02T18:58:44,246.8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0007_96c264d0b705d378.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0007_96c264d0b705d378.stderr.log,0,
8,run,ldam_drw,ldam_drw,pretty_balanced,lr5e5,5e-05,5e-05,completed,5657fd221c14925f,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0008_5657fd221c14925f.json,results/pmi10_sota_convnext_base_test/run_ldam_drw_lr5e5_s42_05-02_19-02/metrics_20260502_190304_ldam_drw.json,checkpoints/run_ldam_drw_lr5e5_s42,argmax,0.90625,0.953125,0.0121875,0.121875,0.971875,0.971875,0.9721705971421148,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:58:44,2026-05-02T19:03:04,260.5,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0008_5657fd221c14925f.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0008_5657fd221c14925f.stderr.log,0,
9,run,ap_csada,ap_csada,pretty_balanced,lr5e5,1e-05,5e-05,completed,93d5d63dac2ea853,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0009_93d5d63dac2ea853.json,results/pmi10_sota_convnext_base_test/run_ap_csada_lr5e5_s42_05-02_19-04/metrics_20260502_190435_ap_csada.json,checkpoints/run_ap_csada_lr5e5_s42,argmax,0.90625,0.953125,0.0121875,0.121875,0.971875,0.971875,0.9722227935068661,4,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T19:03:04,2026-05-02T19:04:36,91.7,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0009_93d5d63dac2ea853.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0009_93d5d63dac2ea853.stderr.log,0,
10,run,sosr_cnn,sosr_cnn,pretty_balanced,lr5e5,1e-05,5e-05,completed,44c538d5a520f3e3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/configs/0010_44c538d5a520f3e3.json,results/pmi10_sota_convnext_base_test/run_sosr_cnn_lr5e5_s42_05-02_19-06/metrics_20260502_190609_sosr_cnn.json,checkpoints/run_sosr_cnn_lr5e5_s42,sosr_argmin,0.0,0.0,0.139375,1.39375,0.0,0.0,0.0,14,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T19:04:36,2026-05-02T19:06:10,93.5,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0010_44c538d5a520f3e3.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/run/logs/0010_44c538d5a520f3e3.stderr.log,0,
