run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,smoke,ce_anchor_pretty,ce_anchor_pretty,pretty_balanced,lr5e5,5e-05,5e-05,completed,85088f8297b50bfc,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0001_85088f8297b50bfc.json,results/pmi10_sota_convnext_base_test/smoke_ce_anchor_pretty_lr5e5_s42_05-02_18-11/metrics_20260502_181211_cross_entropy.json,checkpoints/smoke_ce_anchor_pretty_lr5e5_s42,argmax,0.09375,0.515625,0.14875,1.4875,0.525,0.525,0.4583610924729644,36,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:11:20,2026-05-02T18:12:11,50.8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0001_85088f8297b50bfc.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0001_85088f8297b50bfc.stderr.log,0,
2,smoke,nicme_v3_hybrid_pretty,nicme_v3_hybrid_pretty,pretty_balanced,lr5e5,5e-05,5e-05,completed,6093e3409973a2e1,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0002_6093e3409973a2e1.json,results/pmi10_sota_convnext_base_test/smoke_nicme_v3_hybrid_pretty_lr5e5_s42_05-02_18-12/metrics_20260502_181256_nicme_v3_hybrid.json,checkpoints/smoke_nicme_v3_hybrid_pretty_lr5e5_s42,argmax,0.125,0.59375,0.076875,0.76875,0.56875,0.56875,0.5285595986192194,12,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:12:11,2026-05-02T18:12:57,45.4,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0002_6093e3409973a2e1.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0002_6093e3409973a2e1.stderr.log,0,
3,smoke,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,pretty_balanced,lr5e5,5e-05,5e-05,completed,dd114197769cf1d3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0003_dd114197769cf1d3.json,results/pmi10_sota_convnext_base_test/smoke_nicme_v2_hybrid_pretty_lr5e5_s42_05-02_18-13/metrics_20260502_181352_nicme_hybrid.json,checkpoints/smoke_nicme_v2_hybrid_pretty_lr5e5_s42,argmax,0.0,0.46875,0.08125,0.8125,0.46875,0.46875,0.4018630029659704,10,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:12:57,2026-05-02T18:13:53,56.2,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0003_dd114197769cf1d3.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0003_dd114197769cf1d3.stderr.log,0,
4,smoke,cost_weighted_ce,cost_weighted_ce,pretty_balanced,lr5e5,5e-05,5e-05,completed,782a277f4e012b98,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0004_782a277f4e012b98.json,results/pmi10_sota_convnext_base_test/smoke_cost_weighted_ce_lr5e5_s42_05-02_18-14/metrics_20260502_181438_cost_weighted_ce.json,checkpoints/smoke_cost_weighted_ce_lr5e5_s42,argmax,0.84375,0.921875,0.05375,0.5375,0.540625,0.540625,0.4277250671257331,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:13:53,2026-05-02T18:14:38,45.5,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0004_782a277f4e012b98.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0004_782a277f4e012b98.stderr.log,0,
5,smoke,menon_logit_adjusted,menon_logit_adjusted,pretty_balanced,lr5e5,5e-05,5e-05,completed,cfdb65a5645f8128,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0005_cfdb65a5645f8128.json,results/pmi10_sota_convnext_base_test/smoke_menon_logit_adjusted_lr5e5_s42_05-02_18-15/metrics_20260502_181522_menon_logit_adjusted.json,checkpoints/smoke_menon_logit_adjusted_lr5e5_s42,argmax,0.09375,0.515625,0.14875,1.4875,0.525,0.525,0.4583610924729644,36,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:14:38,2026-05-02T18:15:23,44.3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0005_cfdb65a5645f8128.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0005_cfdb65a5645f8128.stderr.log,0,
6,smoke,balanced_softmax,balanced_softmax,pretty_balanced,lr5e5,5e-05,5e-05,completed,d52234814968fc35,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0006_d52234814968fc35.json,results/pmi10_sota_convnext_base_test/smoke_balanced_softmax_lr5e5_s42_05-02_18-15/metrics_20260502_181608_balanced_softmax.json,checkpoints/smoke_balanced_softmax_lr5e5_s42,argmax,0.09375,0.515625,0.14875,1.4875,0.525,0.525,0.4583610924729644,36,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:15:23,2026-05-02T18:16:08,45.8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0006_d52234814968fc35.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0006_d52234814968fc35.stderr.log,0,
7,smoke,class_balanced_focal,class_balanced_focal,pretty_balanced,lr5e5,5e-05,5e-05,completed,11f519767f1cae5a,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0007_11f519767f1cae5a.json,results/pmi10_sota_convnext_base_test/smoke_class_balanced_focal_lr5e5_s42_05-02_18-16/metrics_20260502_181654_class_balanced_focal.json,checkpoints/smoke_class_balanced_focal_lr5e5_s42,argmax,0.375,0.6484375,0.12156249999999999,1.215625,0.571875,0.571875,0.5144639631458994,28,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:16:08,2026-05-02T18:16:55,46.5,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0007_11f519767f1cae5a.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0007_11f519767f1cae5a.stderr.log,0,
8,smoke,ldam_drw,ldam_drw,pretty_balanced,lr5e5,5e-05,5e-05,completed,c29decedd987aef7,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0008_c29decedd987aef7.json,results/pmi10_sota_convnext_base_test/smoke_ldam_drw_lr5e5_s42_05-02_18-17/metrics_20260502_181739_ldam_drw.json,checkpoints/smoke_ldam_drw_lr5e5_s42,argmax,0.0625,0.421875,0.1134375,1.134375,0.540625,0.540625,0.48402445335644995,24,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:16:55,2026-05-02T18:17:40,44.8,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0008_c29decedd987aef7.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0008_c29decedd987aef7.stderr.log,0,
9,smoke,ap_csada,ap_csada,pretty_balanced,lr5e5,1e-05,5e-05,completed,65becef59780d5f3,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0009_65becef59780d5f3.json,results/pmi10_sota_convnext_base_test/smoke_ap_csada_lr5e5_s42_05-02_18-18/metrics_20260502_181825_ap_csada.json,checkpoints/smoke_ap_csada_lr5e5_s42,argmax,0.125,0.59375,0.0515625,0.515625,0.5625,0.5625,0.510729029529296,3,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:17:40,2026-05-02T18:18:25,45.5,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0009_65becef59780d5f3.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0009_65becef59780d5f3.stderr.log,0,
10,smoke,sosr_cnn,sosr_cnn,pretty_balanced,lr5e5,1e-05,5e-05,completed,8c640e05ed8fd18d,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/configs/0010_8c640e05ed8fd18d.json,results/pmi10_sota_convnext_base_test/smoke_sosr_cnn_lr5e5_s42_05-02_18-19/metrics_20260502_181910_sosr_cnn.json,checkpoints/smoke_sosr_cnn_lr5e5_s42,sosr_argmin,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T18:18:25,2026-05-02T18:19:11,45.7,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0010_8c640e05ed8fd18d.stdout.log,/mnt/storage/github/NICME/results/pmi10_sota_pretty_balanced_lr5e5_20260503/smoke/logs/0010_8c640e05ed8fd18d.stderr.log,0,
