run_id,phase,backbone,loss,seed,status,config_hash,config_path,metric_path,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,24b4a962bdce0427,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0001_24b4a962bdce0427.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0000_05-02_02-51/metrics_20260502_025114_nicme_v3_hybrid.json,0.967741935483871,0.9838709677419355,0.004838709677419355,0.04838709677419355,0.9806451612903226,0.9806451612903225,0.9806384408602151,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T02:46:07,2026-05-02T02:51:14,307.5,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0001_24b4a962bdce0427.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0001_24b4a962bdce0427.stderr.log,0,
2,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,0ac3dbc216473a22,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0002_0ac3dbc216473a22.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0001_05-02_02-55/metrics_20260502_025520_nicme_v3_hybrid.json,0.9032258064516129,0.9758064516129032,0.002258064516129032,0.02258064516129032,0.9774193548387096,0.9774193548387097,0.977301912568306,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T02:51:14,2026-05-02T02:55:21,246.6,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0002_0ac3dbc216473a22.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0002_0ac3dbc216473a22.stderr.log,0,
3,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,ae63442a12907c6a,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0003_ae63442a12907c6a.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0002_05-02_02-59/metrics_20260502_025953_nicme_v3_hybrid.json,0.9032258064516129,0.967741935483871,0.0070967741935483875,0.07096774193548387,0.9516129032258064,0.9516129032258065,0.9517307350779335,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T02:55:21,2026-05-02T02:59:54,272.7,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0003_ae63442a12907c6a.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0003_ae63442a12907c6a.stderr.log,0,
4,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,072f8bf3424dbb0f,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0004_072f8bf3424dbb0f.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0003_05-02_03-03/metrics_20260502_030312_nicme_v3_hybrid.json,0.8709677419354839,0.9516129032258065,0.009032258064516128,0.09032258064516129,0.967741935483871,0.967741935483871,0.9675777479225754,2,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T02:59:54,2026-05-02T03:03:13,199.0,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0004_072f8bf3424dbb0f.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0004_072f8bf3424dbb0f.stderr.log,0,
5,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,53bf742de0f8f8ac,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0005_53bf742de0f8f8ac.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0004_05-02_03-07/metrics_20260502_030718_nicme_v3_hybrid.json,0.967741935483871,0.9919354838709677,0.001935483870967742,0.01935483870967742,0.9806451612903226,0.9806451612903225,0.9806324811345302,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T03:03:13,2026-05-02T03:07:18,245.6,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0005_53bf742de0f8f8ac.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0005_53bf742de0f8f8ac.stderr.log,0,
6,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,2abacb6495b7dbb1,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0006_2abacb6495b7dbb1.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0005_05-02_03-11/metrics_20260502_031114_nicme_v3_hybrid.json,0.9354838709677419,0.9838709677419355,0.0032258064516129032,0.03225806451612903,0.967741935483871,0.967741935483871,0.9675035588005694,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T03:07:18,2026-05-02T03:11:14,236.1,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0006_2abacb6495b7dbb1.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0006_2abacb6495b7dbb1.stderr.log,0,
7,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,4ccd85f9b4bd8c58,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0007_4ccd85f9b4bd8c58.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0006_05-02_03-15/metrics_20260502_031519_nicme_v3_hybrid.json,0.967741935483871,0.9838709677419355,0.005806451612903226,0.05806451612903226,0.9709677419354839,0.9709677419354839,0.9712243639913831,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T03:11:14,2026-05-02T03:15:20,245.6,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0007_4ccd85f9b4bd8c58.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0007_4ccd85f9b4bd8c58.stderr.log,0,
8,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,1edc02a4a5a5b7d3,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0008_1edc02a4a5a5b7d3.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0007_05-02_03-19/metrics_20260502_031958_nicme_v3_hybrid.json,0.967741935483871,0.9838709677419355,0.0070967741935483875,0.07096774193548387,0.9580645161290322,0.9580645161290322,0.9575212309662163,1,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T03:15:20,2026-05-02T03:19:59,279.0,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0008_1edc02a4a5a5b7d3.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0008_1edc02a4a5a5b7d3.stderr.log,0,
9,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,2faf85d4e6e70668,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0009_2faf85d4e6e70668.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0008_05-02_03-26/metrics_20260502_032634_nicme_v3_hybrid.json,0.9032258064516129,0.9758064516129032,0.000967741935483871,0.00967741935483871,0.9903225806451612,0.9903225806451613,0.9902029526499865,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T03:19:59,2026-05-02T03:26:35,395.7,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0009_2faf85d4e6e70668.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0009_2faf85d4e6e70668.stderr.log,0,
10,hpo-v3,convnext_base.fb_in22k_ft_in1k,nicme_v3_hybrid,42,completed,a144cdfd654c85a9,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/configs/0010_a144cdfd654c85a9.json,results/pmi10_convnext_base_fb_in22k_ft_in1k_test/hpo-v3_convnext_base_fb_in22k_ft_in1k_nicme_v3_hybrid_s42_trial0009_05-02_03-31/metrics_20260502_033127_nicme_v3_hybrid.json,0.967741935483871,0.9919354838709677,0.0003225806451612903,0.0032258064516129032,0.9967741935483871,0.9967741935483871,0.9967733541504034,0,1160cbf20c4fac24dc7bb84cbbb229a16545259d585ae1ef1c066e0007082e08,2026-05-02T03:26:35,2026-05-02T03:31:27,292.6,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0010_a144cdfd654c85a9.stdout.log,/mnt/storage/github/NICME/results/pmi10_v3_balanced_convnext_base_20260502/hpo-v3/logs/0010_a144cdfd654c85a9.stderr.log,0,
