seed,metric,nicme,baseline_method,baseline,improvement_positive_favors_nicme,direction
42,target_recall_min,0.90625,csada,0.875,0.03125,higher
42,target_recall_macro,0.9609375,csada,0.96875,-0.0078125,higher
42,normalized_atc,0.007656250000000001,csada,0.031875,0.02421875,lower
42,atc,0.0765625,csada,0.31875,0.24218749999999997,lower
42,balanced_accuracy,0.965625,csada,0.709375,0.25625,higher
42,macro_f1,0.9657001450032003,csada,0.6738334960268493,0.29186664897635106,higher
42,critical_pair_error_count,3.0,csada,2.0,-1.0,lower
43,target_recall_min,0.90625,csada,0.875,0.03125,higher
43,target_recall_macro,0.9609375,csada,0.96875,-0.0078125,higher
43,normalized_atc,0.00609375,csada,0.0240625,0.01796875,lower
43,atc,0.0609375,csada,0.240625,0.1796875,lower
43,balanced_accuracy,0.978125,csada,0.8015625,0.17656250000000007,higher
43,macro_f1,0.9782007221335738,csada,0.7701121382173179,0.20808858391625584,higher
43,critical_pair_error_count,3.0,csada,3.0,0.0,lower
44,target_recall_min,0.9375,csada,0.90625,0.03125,higher
44,target_recall_macro,0.9765625,csada,0.9765625,0.0,higher
44,normalized_atc,0.005,csada,0.01984375,0.01484375,lower
44,atc,0.05,csada,0.1984375,0.1484375,lower
44,balanced_accuracy,0.9640625,csada,0.815625,0.1484375,higher
44,macro_f1,0.963790069300025,csada,0.7949048713424952,0.16888519795752976,higher
44,critical_pair_error_count,1.0,csada,1.0,0.0,lower
