seed,method,display_name,source,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
42,ce_anchor_pmi20,CE,pmi20_camera_ready_seed_42,argmax,0.90625,0.9609375,0.0090625,0.090625,0.9515625,0.9515625,0.9506761339944765,3,5e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_1e19257abfd5f6c3.json
42,ce_cost_min_inference_pmi20,CE + cost-min inference,pmi20_camera_ready_seed_42,cost_min,0.78125,0.9140625,0.0073437500000000005,0.0734375,0.9265625,0.9265625,0.9261771440109031,0,5e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_1e19257abfd5f6c3.json
42,nicme_v3_run50_a0p09_l0p07_pmi20,"NICME v3 (alpha=0.09, lambda=0.07)",pmi20_camera_ready_seed_42,argmax,0.90625,0.9609375,0.007656250000000001,0.0765625,0.965625,0.965625,0.9657001450032003,3,5e-05,5e-05,0.09,0.07,results/pmi20_sota_convnext_base_test/pmi20_run_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s42_05-04_09-10/metrics_20260504_091047_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0002_f97bfd17a772fa03.json
42,menon_logit_adjusted,Menon logit adjustment,pmi20_camera_ready_seed_42,argmax,0.90625,0.9609375,0.0090625,0.090625,0.9515625,0.9515625,0.9506761339944765,3,5e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_menon_logit_adjusted_lr5e5_s42_05-04_09-15/metrics_20260504_091558_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0003_1385fc6e091c9963.json
42,cost_weighted_ce,Cost-weighted CE,pmi20_camera_ready_seed_42,argmax,0.9375,0.9765625,0.00828125,0.0828125,0.9453125,0.9453125,0.9450609197138105,2,5e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_cost_weighted_ce_lr5e5_s42_05-04_09-20/metrics_20260504_092103_cost_weighted_ce.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0004_1c2ba80ae4388b20.json
42,ap_csada,AP-CSADA,pmi20_camera_ready_seed_42,argmax,0.90625,0.9609375,0.0059375,0.059375,0.9828125,0.9828125,0.9827598073969043,3,1e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_ap_csada_lr5e5_s42_05-04_09-23/metrics_20260504_092355_ap_csada.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0005_4d5d3b39a5a0cae3.json
42,csada,CSADA,pmi20_camera_ready_seed_42,argmax,0.875,0.96875,0.031875,0.31875,0.709375,0.709375,0.6738334960268493,2,1e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_csada_lr5e5_s42_05-04_09-27/metrics_20260504_092806_csada.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0006_394faf86b45df4a6.json
43,ce_anchor_pmi20,CE,pmi20_camera_ready_seed_43,argmax,0.90625,0.96875,0.005,0.05,0.978125,0.978125,0.9781859349601285,2,5e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s43_05-04_09-34/metrics_20260504_093454_cross_entropy.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_ef4e0e0b67532d81.json
43,ce_cost_min_inference_pmi20,CE + cost-min inference,pmi20_camera_ready_seed_43,cost_min,0.875,0.953125,0.005625,0.05625,0.971875,0.971875,0.9722540766989279,2,5e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s43_05-04_09-34/metrics_20260504_093454_cross_entropy.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_ef4e0e0b67532d81.json
43,nicme_v3_run50_a0p09_l0p07_pmi20,"NICME v3 (alpha=0.09, lambda=0.07)",pmi20_camera_ready_seed_43,argmax,0.90625,0.9609375,0.00609375,0.0609375,0.978125,0.978125,0.9782007221335738,3,5e-05,5e-05,0.09,0.07,results/pmi20_sota_convnext_base_test/pmi20_run_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s43_05-04_09-41/metrics_20260504_094145_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0002_42c83f3df57452a5.json
43,menon_logit_adjusted,Menon logit adjustment,pmi20_camera_ready_seed_43,argmax,0.90625,0.96875,0.00453125,0.0453125,0.9828125,0.9828125,0.9829186832593605,2,5e-05,5e-05,,,results/pmi20_sota_convnext_base_test/pmi20_run_menon_logit_adjusted_lr5e5_s43_05-04_09-48/metrics_20260504_094839_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0003_87bcf76199fd7ef7.json
