seed,run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
42,1,dry-run,ce_anchor_pmi20,ce_anchor_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,eaf116554a416b27,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0001_eaf116554a416b27.json,,checkpoints/pmi20_dry-run_ce_anchor_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,2,dry-run,nicme_v3_run50_a0p09_l0p07_pmi20,nicme_v3_run50_a0p09_l0p07_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,8c06ba701af91a0d,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0002_8c06ba701af91a0d.json,,checkpoints/pmi20_dry-run_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,a89511e20d03f362,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0003_a89511e20d03f362.json,,checkpoints/pmi20_dry-run_menon_logit_adjusted_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,4,dry-run,cost_weighted_ce,cost_weighted_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,28af9dae9d1613b1,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0004_28af9dae9d1613b1.json,,checkpoints/pmi20_dry-run_cost_weighted_ce_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,ea3ed52b02debb8b,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0005_ea3ed52b02debb8b.json,,checkpoints/pmi20_dry-run_cost_sensitive_regularized_ce_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,6,dry-run,csada,csada,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,d701fc41993f6f94,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0006_d701fc41993f6f94.json,,checkpoints/pmi20_dry-run_csada_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,1,dry-run,ce_anchor_pmi20,ce_anchor_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,a5677b96d2bfeb67,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0001_a5677b96d2bfeb67.json,,checkpoints/pmi20_dry-run_ce_anchor_pmi20_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,2,dry-run,nicme_v3_run50_a0p09_l0p07_pmi20,nicme_v3_run50_a0p09_l0p07_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,7f281d1d83846fb3,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0002_7f281d1d83846fb3.json,,checkpoints/pmi20_dry-run_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,8ec9379fe5839f0a,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0003_8ec9379fe5839f0a.json,,checkpoints/pmi20_dry-run_menon_logit_adjusted_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,4,dry-run,cost_weighted_ce,cost_weighted_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,d71eb31da2e250cb,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0004_d71eb31da2e250cb.json,,checkpoints/pmi20_dry-run_cost_weighted_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,73b6290c0aa75189,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0005_73b6290c0aa75189.json,,checkpoints/pmi20_dry-run_cost_sensitive_regularized_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,6,dry-run,csada,csada,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,22dd689316544008,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0006_22dd689316544008.json,,checkpoints/pmi20_dry-run_csada_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
44,1,dry-run,ce_anchor_pmi20,ce_anchor_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,ade9a46b199f8ecc,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0001_ade9a46b199f8ecc.json,,checkpoints/pmi20_dry-run_ce_anchor_pmi20_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
44,2,dry-run,nicme_v3_run50_a0p09_l0p07_pmi20,nicme_v3_run50_a0p09_l0p07_pmi20,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,f6d49b817fc675f4,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0002_f6d49b817fc675f4.json,,checkpoints/pmi20_dry-run_nicme_v3_run50_a0p09_l0p07_pmi20_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
44,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,8e05485b2da016e7,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0003_8e05485b2da016e7.json,,checkpoints/pmi20_dry-run_menon_logit_adjusted_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
44,4,dry-run,cost_weighted_ce,cost_weighted_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,790f8531e69fd5f4,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0004_790f8531e69fd5f4.json,,checkpoints/pmi20_dry-run_cost_weighted_ce_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
44,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,pmi20_camera_ready_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,3baee751e2978d3b,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/dry-run/configs/0005_3baee751e2978d3b.json,,checkpoints/pmi20_dry-run_cost_sensitive_regularized_ce_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
