seed,method,display_name,component,decision_mode,alpha,cs_lambda,loss_function,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,metric_path,config_path,checkpoint_path
42,ce,CE,ce,argmax,0.0,0.0,,0.90625,0.9609375,0.0090625,0.090625,0.9515625,0.9515625,0.9506761339944765,3,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s42_05-04_09-05/metrics_20260504_090537_cross_entropy.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_1e19257abfd5f6c3.json,
43,ce,CE,ce,argmax,0.0,0.0,,0.90625,0.96875,0.005,0.05,0.978125,0.978125,0.9781859349601285,2,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s43_05-04_09-34/metrics_20260504_093454_cross_entropy.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_ef4e0e0b67532d81.json,
44,ce,CE,ce,argmax,0.0,0.0,,0.9375,0.9765625,0.00296875,0.0296875,0.984375,0.984375,0.9843963305959275,1,results/pmi20_sota_convnext_base_test/pmi20_run_ce_anchor_pmi20_lr5e5_s44_05-04_10-08/metrics_20260504_100834_cross_entropy.json,/mnt/storage/github/NICME/results/pmi20_camera_ready_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0001_1b17507e0bbbfda4.json,
42,nicme_full_a0p5_l0p1,Full NICME,nicme_full_a0p5_l0p1,argmax,0.5,0.1,,0.90625,0.96875,0.00453125,0.0453125,0.96875,0.96875,0.9688090088279842,1,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_extra_a0p5_l0p1_pmi20_lr5e5_s42_05-04_14-50/metrics_20260504_145014_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0006_fd3d937f61d7bb64.json,
43,nicme_full_a0p5_l0p1,Full NICME,nicme_full_a0p5_l0p1,argmax,0.5,0.1,,0.90625,0.96875,0.00390625,0.0390625,0.9890625,0.9890625,0.9890538552217055,2,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_extra_a0p5_l0p1_pmi20_lr5e5_s43_05-04_15-34/metrics_20260504_153448_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0006_bcd880753ae619eb.json,
44,nicme_full_a0p5_l0p1,Full NICME,nicme_full_a0p5_l0p1,argmax,0.5,0.1,,0.9375,0.984375,0.0026562499999999998,0.0265625,0.9734375,0.9734375,0.9734237997358715,0,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_extra_a0p5_l0p1_pmi20_lr5e5_s44_05-04_16-09/metrics_20260504_160947_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_44/run/configs/0006_3a0009f6e61d44a0.json,
42,nicme_regularizer_only_l0p1,Regularizer-only,nicme_regularizer_only_l0p1,argmax,0.0,0.1,cs_regularized_ce,0.90625,0.9609375,0.008125,0.08125,0.9609375,0.9609375,0.9608509667215277,3,results/pmi20_sota_convnext_base_test/pmi20_component_ablation_run_nicme_regularizer_only_l0p1_lr5e5_s42_05-06_02-22/metrics_20260506_022246_cs_regularized_ce.json,/mnt/storage/github/NICME/results/pmi20_component_ablation_lr5e5_multiseed_20260506/seeds/seed_42/run/configs/0001_170f5a6bc6b1ae0f.json,checkpoints/pmi20_component_ablation_run_nicme_regularizer_only_l0p1_lr5e5_s42
42,nicme_margin_only_a0p5,Margin-only,nicme_margin_only_a0p5,argmax,0.5,0.0,nicme_logit_adjustment,0.90625,0.96875,0.005156249999999999,0.0515625,0.9765625,0.9765625,0.9766238346809933,2,results/pmi20_sota_convnext_base_test/pmi20_component_ablation_run_nicme_margin_only_a0p5_lr5e5_s42_05-06_02-28/metrics_20260506_022837_nicme_logit_adjustment.json,/mnt/storage/github/NICME/results/pmi20_component_ablation_lr5e5_multiseed_20260506/seeds/seed_42/run/configs/0002_84e2eaf1ef862e1f.json,checkpoints/pmi20_component_ablation_run_nicme_margin_only_a0p5_lr5e5_s42
43,nicme_regularizer_only_l0p1,Regularizer-only,nicme_regularizer_only_l0p1,argmax,0.0,0.1,cs_regularized_ce,0.90625,0.96875,0.005625,0.05625,0.971875,0.971875,0.9719675882205827,2,results/pmi20_sota_convnext_base_test/pmi20_component_ablation_run_nicme_regularizer_only_l0p1_lr5e5_s43_05-06_02-34/metrics_20260506_023433_cs_regularized_ce.json,/mnt/storage/github/NICME/results/pmi20_component_ablation_lr5e5_multiseed_20260506/seeds/seed_43/run/configs/0001_4d5235dc5af6e9d2.json,checkpoints/pmi20_component_ablation_run_nicme_regularizer_only_l0p1_lr5e5_s43
43,nicme_margin_only_a0p5,Margin-only,nicme_margin_only_a0p5,argmax,0.5,0.0,nicme_logit_adjustment,0.90625,0.96875,0.0043749999999999995,0.04375,0.984375,0.984375,0.9843560328581136,2,results/pmi20_sota_convnext_base_test/pmi20_component_ablation_run_nicme_margin_only_a0p5_lr5e5_s43_05-06_02-44/metrics_20260506_024450_nicme_logit_adjustment.json,/mnt/storage/github/NICME/results/pmi20_component_ablation_lr5e5_multiseed_20260506/seeds/seed_43/run/configs/0002_86ee2780d17d30b8.json,checkpoints/pmi20_component_ablation_run_nicme_margin_only_a0p5_lr5e5_s43
