seed,method,display_name,source_label,metric,run50,candidate,delta_positive_favors_candidate,direction
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,target_recall_min,0.90625,0.90625,0.0,higher
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,target_recall_macro,0.9609375,0.9609375,0.0,higher
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,normalized_atc,0.007656250000000001,0.00796875,-0.0003124999999999994,lower
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,atc,0.0765625,0.0796875,-0.003124999999999989,lower
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,balanced_accuracy,0.965625,0.9625,-0.0031249999999999334,higher
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,macro_f1,0.9657001450032003,0.9626500940240822,-0.0030500509791181463,higher
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,critical_pair_error_count,3.0,3.0,0.0,lower
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,target_recall_min,0.90625,0.90625,0.0,higher
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,target_recall_macro,0.9609375,0.9609375,0.0,higher
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,normalized_atc,0.007656250000000001,0.0078125,-0.00015624999999999927,lower
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,atc,0.0765625,0.078125,-0.0015624999999999944,lower
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,balanced_accuracy,0.965625,0.9640625,-0.0015624999999999112,higher
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,macro_f1,0.9657001450032003,0.9640951499476612,-0.0016049950555391268,higher
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,critical_pair_error_count,3.0,3.0,0.0,lower
42,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,target_recall_min,0.90625,0.9375,0.03125,higher
42,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,target_recall_macro,0.9609375,0.9765625,0.015625,higher
