seed,method,display_name,source_label,hpo_run,candidate_order,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
42,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,53,1,argmax,0.90625,0.9609375,0.00796875,0.0796875,0.9625,0.9625,0.9626500940240822,3,5e-05,5e-05,0.09,0.2,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run53_a0p09_l0p2_pmi20_lr5e5_s42_05-04_14-22/metrics_20260504_142308_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0001_286f0c6d5870e26f.json
42,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,20,2,argmax,0.90625,0.9609375,0.0078125,0.078125,0.9640625,0.9640625,0.9640951499476612,3,5e-05,5e-05,0.06,0.03,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run20_a0p06_l0p03_pmi20_lr5e5_s42_05-04_14-27/metrics_20260504_142811_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0002_708900f065f94d8a.json
42,nicme_run50_a0p09_l0p07_pmi20,"NICME PMI-10 run 50 (alpha=0.09, lambda=0.07)",PMI-10 run 50,50,3,argmax,0.90625,0.9609375,0.007656250000000001,0.0765625,0.965625,0.965625,0.9657001450032003,3,5e-05,5e-05,0.09,0.07,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run50_a0p09_l0p07_pmi20_lr5e5_s42_05-04_14-33/metrics_20260504_143314_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0003_6468e731290e0c91.json
42,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,95,4,argmax,0.9375,0.9765625,0.0040625,0.040625,0.9734375,0.9734375,0.9735495483064269,1,5e-05,5e-05,0.5,0.07,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run95_a0p5_l0p07_pmi20_lr5e5_s42_05-04_14-38/metrics_20260504_143912_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0004_8c798b9490e177ad.json
42,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,69,5,argmax,0.90625,0.9609375,0.0084375,0.084375,0.9578125,0.9578125,0.9580961098901744,3,5e-05,5e-05,0.2,0.09,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run69_a0p2_l0p09_pmi20_lr5e5_s42_05-04_14-44/metrics_20260504_144416_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0005_f61b81bf86b3cc24.json
42,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,,6,argmax,0.90625,0.96875,0.00453125,0.0453125,0.96875,0.96875,0.9688090088279842,1,5e-05,5e-05,0.5,0.1,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_extra_a0p5_l0p1_pmi20_lr5e5_s42_05-04_14-50/metrics_20260504_145014_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0006_fd3d937f61d7bb64.json
43,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,53,1,argmax,0.90625,0.9765625,0.005,0.05,0.9640625,0.9640625,0.963875767857818,1,5e-05,5e-05,0.09,0.2,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run53_a0p09_l0p2_pmi20_lr5e5_s43_05-04_14-56/metrics_20260504_145638_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_5c331b1d29f8cd17.json
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,20,2,argmax,0.875,0.9609375,0.00625,0.0625,0.9796875,0.9796875,0.9796631420984976,3,5e-05,5e-05,0.06,0.03,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run20_a0p06_l0p03_pmi20_lr5e5_s43_05-04_15-04/metrics_20260504_150422_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0002_9794629d4728653c.json
43,nicme_run50_a0p09_l0p07_pmi20,"NICME PMI-10 run 50 (alpha=0.09, lambda=0.07)",PMI-10 run 50,50,3,argmax,0.90625,0.9609375,0.00609375,0.0609375,0.978125,0.978125,0.9782007221335738,3,5e-05,5e-05,0.09,0.07,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run50_a0p09_l0p07_pmi20_lr5e5_s43_05-04_15-10/metrics_20260504_151110_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0003_f89c4bd4b23dec02.json
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,95,4,argmax,0.90625,0.96875,0.0073437500000000005,0.0734375,0.9546875,0.9546875,0.9538064910647099,2,5e-05,5e-05,0.5,0.07,results/pmi20_sota_convnext_base_test/pmi20_alpha_lambda6_run_nicme_run95_a0p5_l0p07_pmi20_lr5e5_s43_05-04_15-17/metrics_20260504_151734_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0004_83b035837fdc0ce2.json
