seed,per_seed_rank,method,display_name,source_label,hpo_run,alpha,cs_lambda,target_recall_min,normalized_atc,balanced_accuracy,macro_f1,critical_pair_error_count
42,1,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,95,0.5,0.07,0.9375,0.0040625,0.9734375,0.9735495483064269,1
42,2,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,,0.5,0.1,0.90625,0.00453125,0.96875,0.9688090088279842,1
42,3,nicme_run50_a0p09_l0p07_pmi20,"NICME PMI-10 run 50 (alpha=0.09, lambda=0.07)",PMI-10 run 50,50,0.09,0.07,0.90625,0.007656250000000001,0.965625,0.9657001450032003,3
42,4,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,20,0.06,0.03,0.90625,0.0078125,0.9640625,0.9640951499476612,3
42,5,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,53,0.09,0.2,0.90625,0.00796875,0.9625,0.9626500940240822,3
42,6,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,69,0.2,0.09,0.90625,0.0084375,0.9578125,0.9580961098901744,3
43,1,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,,0.5,0.1,0.90625,0.00390625,0.9890625,0.9890538552217055,2
43,2,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,53,0.09,0.2,0.90625,0.005,0.9640625,0.963875767857818,1
43,3,nicme_run50_a0p09_l0p07_pmi20,"NICME PMI-10 run 50 (alpha=0.09, lambda=0.07)",PMI-10 run 50,50,0.09,0.07,0.90625,0.00609375,0.978125,0.9782007221335738,3
43,4,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,95,0.5,0.07,0.90625,0.0073437500000000005,0.9546875,0.9538064910647099,2
43,5,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,20,0.06,0.03,0.875,0.00625,0.9796875,0.9796631420984976,3
43,6,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,69,0.2,0.09,0.875,0.006562500000000001,0.9625,0.962069262338494,2
44,1,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,,0.5,0.1,0.9375,0.0026562499999999998,0.9734375,0.9734237997358715,0
44,2,nicme_run50_a0p09_l0p07_pmi20,"NICME PMI-10 run 50 (alpha=0.09, lambda=0.07)",PMI-10 run 50,50,0.09,0.07,0.9375,0.005,0.9640625,0.963790069300025,1
44,3,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,69,0.2,0.09,0.9375,0.0053124999999999995,0.971875,0.9720452914421367,2
44,4,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,95,0.5,0.07,0.9375,0.00671875,0.94375,0.9414660243111092,1
44,5,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,53,0.09,0.2,0.90625,0.0046875,0.9671875,0.9669963879772465,1
44,6,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,20,0.06,0.03,0.875,0.00609375,0.9671875,0.9667358276494514,2
