seed,run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
42,1,dry-run,nicme_run53_a0p09_l0p2_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.2,planned,c7624129e3e9263d,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0001_c7624129e3e9263d.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run53_a0p09_l0p2_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,2,dry-run,nicme_run20_a0p06_l0p03_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.06,0.03,planned,4bd64b792629a70d,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0002_4bd64b792629a70d.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run20_a0p06_l0p03_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,3,dry-run,nicme_run50_a0p09_l0p07_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,c8d1e67d340f0fdf,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0003_c8d1e67d340f0fdf.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run50_a0p09_l0p07_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,4,dry-run,nicme_run95_a0p5_l0p07_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,planned,c1132919ca172303,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0004_c1132919ca172303.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run95_a0p5_l0p07_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,5,dry-run,nicme_run69_a0p2_l0p09_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.2,0.09,planned,d97b8e3b82d4947b,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0005_d97b8e3b82d4947b.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run69_a0p2_l0p09_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
42,6,dry-run,nicme_extra_a0p5_l0p1_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,528f43f78e656007,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_42/dry-run/configs/0006_528f43f78e656007.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_extra_a0p5_l0p1_pmi20_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,1,dry-run,nicme_run53_a0p09_l0p2_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.2,planned,3091b30e19638670,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0001_3091b30e19638670.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run53_a0p09_l0p2_pmi20_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,2,dry-run,nicme_run20_a0p06_l0p03_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.06,0.03,planned,91f5ec19e975b928,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0002_91f5ec19e975b928.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run20_a0p06_l0p03_pmi20_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,3,dry-run,nicme_run50_a0p09_l0p07_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.09,0.07,planned,fa2234177715afcf,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0003_fa2234177715afcf.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run50_a0p09_l0p07_pmi20_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
43,4,dry-run,nicme_run95_a0p5_l0p07_pmi20,pmi20_nicme_alpha_lambda6_multiseed,pmi20_nicme_alpha_lambda6_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.07,planned,6f65918e4ee2d138,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda6_lr5e5_multiseed_20260504/seeds/seed_43/dry-run/configs/0004_6f65918e4ee2d138.json,,checkpoints/pmi20_alpha_lambda6_dry-run_nicme_run95_a0p5_l0p07_pmi20_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
