run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
1,dry-run,nicme_grid7_a0_l0_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.0,0.0,planned,0cf8349a089d6e8c,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0001_0cf8349a089d6e8c.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0_l0_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
2,dry-run,nicme_grid7_a0_l0p02_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.0,0.02,planned,b009bca7c02fc929,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0002_b009bca7c02fc929.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0_l0p02_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
3,dry-run,nicme_grid7_a0_l0p05_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.0,0.05,planned,553c45f4321cae7a,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0003_553c45f4321cae7a.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0_l0p05_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
4,dry-run,nicme_grid7_a0_l0p07_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.0,0.07,planned,24860f61a2156197,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0004_24860f61a2156197.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0_l0p07_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
5,dry-run,nicme_grid7_a0_l0p1_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.0,0.1,planned,ba91dbf53be6b249,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0005_ba91dbf53be6b249.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0_l0p1_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
6,dry-run,nicme_grid7_a0_l0p2_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.0,0.2,planned,039f16da6c45524e,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0006_039f16da6c45524e.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0_l0p2_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
7,dry-run,nicme_grid7_a0_l0p3_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.0,0.3,planned,d76014ab4a031fac,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0007_d76014ab4a031fac.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0_l0p3_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
8,dry-run,nicme_grid7_a0p05_l0_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.05,0.0,planned,3761d113b5ef0fc6,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0008_3761d113b5ef0fc6.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0p05_l0_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
9,dry-run,nicme_grid7_a0p05_l0p02_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.05,0.02,planned,807a3053c559acdf,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0009_807a3053c559acdf.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0p05_l0p02_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
10,dry-run,nicme_grid7_a0p05_l0p05_pmi20,pmi20_nicme_alpha_lambda_grid7_seed42,pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42,lr5e5,5e-05,5e-05,0.05,0.05,planned,84f7ee30ad0a1a69,/mnt/storage/github/NICME/results/pmi20_nicme_alpha_lambda_grid7_lr5e5_seed42_20260506/seeds/seed_42/dry-run/configs/0010_84f7ee30ad0a1a69.json,,checkpoints/pmi20_alpha_lambda_grid7_dry-run_a0p05_l0p05_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,af92dbd367c299056f5f41dab4f3b4330a6171b856e8822bac0357fdfe4289d2,,,,,,,
