dataset,model_family,method,decision_mode,run,metrics_file,normalized_atc,atc,target_recall,target_fnr,accuracy,balanced_accuracy,macro_f1,selection_score,selection_accuracy_value,nll,brier,ece,auroc,auprc,temperature
breakhis_balanced_prototype,convnext,ce,argmax,stop2_prototype_breakhis_balanced_prototype_convnext_ce_04-28_05-30,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_ce_04-28_05-30/metrics_20260428_053020_ce.json,0.0203125,0.203125,0.96875,0.03125,0.9375,0.9375,0.9374389051808407,0.02031875,0.9375,0.4319599359699672,0.2542035468576076,0.2576616760343313,0.9541015625,0.9526934794627399,
breakhis_balanced_prototype,convnext,ce,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_convnext_ce_04-28_05-30,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_ce_04-28_05-30/metrics_20260428_053020_ce.json,0.04375,0.4375,1.0,0.0,0.5625,0.5625,0.4589371980676329,0.12640625,0.5625,0.30766175802207274,0.16770528032069404,0.13360725761142692,0.9541015625,0.9526934794627399,0.5
breakhis_balanced_prototype,convnext,ce_calibrated_cost_min,argmax,stop2_prototype_breakhis_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-30,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-30/metrics_20260428_053100_ce_calibrated_cost_min.json,0.0203125,0.203125,0.96875,0.03125,0.9375,0.9375,0.9374389051808407,0.02031875,0.9375,0.43196135885897957,0.25420457850223793,0.2576621882617473,0.9541015625,0.9526934794627399,
breakhis_balanced_prototype,convnext,ce_calibrated_cost_min,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-30,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_ce_calibrated_cost_min_04-28_05-30/metrics_20260428_053100_ce_calibrated_cost_min.json,0.04375,0.4375,1.0,0.0,0.5625,0.5625,0.4589371980676329,0.12640625,0.5625,0.30766328986215813,0.16770532821734474,0.13360743185287519,0.9541015625,0.9526934794627399,0.5
breakhis_balanced_prototype,convnext,menon_logit_adjusted,argmax,stop2_prototype_breakhis_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-31,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-31/metrics_20260428_053139_menon_logit_adjusted.json,0.0203125,0.203125,0.96875,0.03125,0.9375,0.9375,0.9374389051808407,0.02031875,0.9375,0.4319615114856089,0.254205072625894,0.25766486767679453,0.9541015625,0.9526934794627399,
breakhis_balanced_prototype,convnext,menon_logit_adjusted,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-31,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_menon_logit_adjusted_04-28_05-31/metrics_20260428_053139_menon_logit_adjusted.json,0.04375,0.4375,1.0,0.0,0.5625,0.5625,0.4589371980676329,0.12640625,0.5625,0.3076618803624439,0.1677061164425788,0.13361228822256443,0.9541015625,0.9526934794627399,0.5
breakhis_balanced_prototype,convnext,nicme_hybrid,argmax,stop2_prototype_breakhis_balanced_prototype_convnext_nicme_hybrid_04-28_05-31,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_nicme_hybrid_04-28_05-31/metrics_20260428_053205_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.1725,0.5,0.7077834395782783,0.5140043236346818,0.13956168107688421,0.6923828125,0.6554425567709337,
breakhis_balanced_prototype,convnext,nicme_hybrid,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_convnext_nicme_hybrid_04-28_05-31,results/convnext_test/stop2_prototype_breakhis_balanced_prototype_convnext_nicme_hybrid_04-28_05-31/metrics_20260428_053205_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.1725,0.5,0.6887054762070444,0.49560202419085564,0.06166638649052321,0.6923828125,0.6554425567709337,2.65
breakhis_balanced_prototype,timm_dinov3_convnext_lora,ce,argmax,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-37,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-37/metrics_20260428_053718_ce.json,0.1359375,1.359375,0.75,0.25,0.765625,0.765625,0.7655677655677655,0.33665664062499995,0.765625,0.5304998533247625,0.3530718610756538,0.13188969250768423,0.8271484375,0.8369166422728671,
breakhis_balanced_prototype,timm_dinov3_convnext_lora,ce,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-37,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-37/metrics_20260428_053718_ce.json,0.0578125,0.578125,0.96875,0.03125,0.5625,0.5625,0.47602339181286546,0.140475,0.5625,0.4938152308016842,0.3310439471009804,0.08598595178146054,0.8271484375,0.8369166422728671,0.5
breakhis_balanced_prototype,timm_dinov3_convnext_lora,ce_calibrated_cost_min,argmax,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-38,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-38/metrics_20260428_053811_ce_calibrated_cost_min.json,0.1359375,1.359375,0.75,0.25,0.765625,0.765625,0.7655677655677655,0.33665664062499995,0.765625,0.5304998533247625,0.3530718610756538,0.13188969250768423,0.8271484375,0.8369166422728671,
breakhis_balanced_prototype,timm_dinov3_convnext_lora,ce_calibrated_cost_min,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-38,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-38/metrics_20260428_053811_ce_calibrated_cost_min.json,0.0578125,0.578125,0.96875,0.03125,0.5625,0.5625,0.47602339181286546,0.140475,0.5625,0.4938152308016842,0.3310439471009804,0.08598595178146054,0.8271484375,0.8369166422728671,0.5
breakhis_balanced_prototype,timm_dinov3_convnext_lora,menon_logit_adjusted,argmax,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-38,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-38/metrics_20260428_053856_menon_logit_adjusted.json,0.1359375,1.359375,0.75,0.25,0.765625,0.765625,0.7655677655677655,0.33665664062499995,0.765625,0.5305013310818869,0.35307324531240236,0.13188777398318052,0.8271484375,0.8369166422728671,
breakhis_balanced_prototype,timm_dinov3_convnext_lora,menon_logit_adjusted,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-38,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-38/metrics_20260428_053856_menon_logit_adjusted.json,0.0578125,0.578125,0.96875,0.03125,0.5625,0.5625,0.47602339181286546,0.140475,0.5625,0.4938223579944087,0.3310494896009155,0.08598175881854478,0.8271484375,0.8369166422728671,0.5
breakhis_balanced_prototype,timm_dinov3_convnext_lora,nicme_hybrid,argmax,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_nicme_hybrid_04-28_05-39,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_nicme_hybrid_04-28_05-39/metrics_20260428_053921_nicme_hybrid.json,0.0609375,0.609375,0.96875,0.03125,0.53125,0.53125,0.4202898550724638,0.16254531249999998,0.53125,0.7391027608338614,0.5414708447140711,0.13269523344933987,0.5244140625,0.5613356043021902,
breakhis_balanced_prototype,timm_dinov3_convnext_lora,nicme_hybrid,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_nicme_hybrid_04-28_05-39,results/timm_dinov3_convnext_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_convnext_lora_nicme_hybrid_04-28_05-39/metrics_20260428_053921_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.1725,0.5,0.6920764516008241,0.49893162732023993,0.015373028962732757,0.5244140625,0.5613356043021902,10.0
breakhis_balanced_prototype,timm_dinov3_vit_lora,ce,argmax,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-35,results/timm_dinov3_vit_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-35/metrics_20260428_053506_ce.json,0.1671875,1.671875,0.6875,0.3125,0.734375,0.734375,0.7337900660631269,0.4997816406249999,0.734375,0.6895116811817676,0.49636461926069997,0.23152491729706526,0.8134765625,0.8252279824409339,
breakhis_balanced_prototype,timm_dinov3_vit_lora,ce,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-35,results/timm_dinov3_vit_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_ce_04-28_05-35/metrics_20260428_053506_ce.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.1725,0.5,0.6859252580153864,0.4927790262140525,0.22867532869784202,0.8134765625,0.8252279824409339,0.5
