phase,dataset,model_family,model_checkpoint,method,decision_mode,nicme_logit_cost_scale,cs_lambda,target_class,class_names,cost_matrix_C_true_pred,target_recall_floor,accuracy_floor,accuracy_floor_metric,floor_accuracy_value,target_recall_floor_met,accuracy_floor_met,all_floors_met,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,confusion_matrix,run,metrics_file,config_file,elapsed_seconds,best_val_selection_score,best_val_normalized_atc,best_val_target_recall,best_val_target_fnr,best_val_accuracy,best_val_balanced_accuracy,best_val_epoch,last_val_selection_score,last_val_normalized_atc,last_val_target_recall,last_val_accuracy
stop2a_nicme_tuning,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.05,0.25,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.95703125,0.9709119862153615,0.5909394148753472,0.39876051324629036,0.39330118428915745,,"[[30, 2], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.05_l0.25_04-28_06-57,results/vit_test/stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.05_l0.25_04-28_06-57/metrics_20260428_065748_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/057_stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.05_l0.25.json,36.28485608100891,0.01406,0.01406,1.0,0.0,0.8594,0.8594,3.0,0.01566,0.01562,1.0,0.8438
stop2a_nicme_tuning,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.1,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.9580078125,0.970357677515561,0.6029658571699885,0.4105216623007648,0.40056399721652264,,"[[30, 2], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.1_l0.1_04-28_06-58,results/vit_test/stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.1_l0.1_04-28_06-58/metrics_20260428_065824_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/058_stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.1_l0.1.json,35.54741311073303,0.01406,0.01406,1.0,0.0,0.8594,0.8594,3.0,0.01566,0.01562,1.0,0.8438
stop2a_nicme_tuning,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.05,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.9599609375,0.9726824129652963,0.6011191567900078,0.40870532987558167,0.39962379261851305,,"[[30, 2], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.05_l0.1_04-28_06-57,results/vit_test/stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.05_l0.1_04-28_06-57/metrics_20260428_065712_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/056_stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.05_l0.1.json,36.35754036903381,0.01406,0.01406,1.0,0.0,0.8594,0.8594,3.0,0.01566,0.01562,1.0,0.8438
stop2a_nicme_tuning,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.1,0.25,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.95703125,0.9709119862153615,0.5912307325306811,0.3990383303750951,0.3934907810762525,,"[[30, 2], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.1_l0.25_04-28_06-58,results/vit_test/stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.1_l0.25_04-28_06-58/metrics_20260428_065900_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/059_stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.1_l0.25.json,36.26115322113037,0.01406,0.01406,1.0,0.0,0.8594,0.8594,3.0,0.01406,0.01406,1.0,0.8594
stop2a_nicme_tuning,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,argmax,0.2,0.25,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.95703125,0.9709119862153615,0.591057253076988,0.39888017231051687,0.393315153196454,,"[[30, 2], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.2_l0.25_04-28_06-59,results/vit_test/stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.2_l0.25_04-28_06-59/metrics_20260428_065936_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/060_stop2a_tune_breakhis_balanced_prototype_vit_hybrid_s0.2_l0.25.json,36.42791271209717,0.01406,0.01406,1.0,0.0,0.8594,0.8594,3.0,0.01406,0.01406,1.0,0.8594
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,argmax,0.1,0.0,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.9375,False,True,False,0.0203125,0.203125,0.96875,0.03125,0.9117647058823529,0.09375,0.9375,0.9375,0.9374389051808407,0.02031875,0.9462890625,0.9449270767339988,0.4775109072013075,0.2939284255232639,0.2886073384433985,,"[[29, 3], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.1_04-28_06-45,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.1_04-28_06-45/metrics_20260428_064528_nicme_logit_adjustment.json,results/stop2a_nicme_tuning/configs/039_stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.1.json,39.2900116443634,0.01566,0.01562,1.0,0.0,0.8438,0.8438,4.0,0.02973,0.02969,0.9688,0.8438
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,argmax,0.2,0.0,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.9375,False,True,False,0.0203125,0.203125,0.96875,0.03125,0.9117647058823529,0.09375,0.9375,0.9375,0.9374389051808407,0.02031875,0.9736328125,0.9767441302828985,0.4425085123420608,0.26312462179867935,0.2750790119171142,,"[[29, 3], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.2_04-28_06-46,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.2_04-28_06-46/metrics_20260428_064615_nicme_logit_adjustment.json,results/stop2a_nicme_tuning/configs/040_stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.2.json,47.42142343521118,0.01406,0.01406,1.0,0.0,0.8594,0.8594,6.0,0.01406,0.01406,1.0,0.8594
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,argmax,0.05,0.0,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.9375,False,True,False,0.0203125,0.203125,0.96875,0.03125,0.9117647058823529,0.09375,0.9375,0.9375,0.9374389051808407,0.02031875,0.94921875,0.9489317462066355,0.4562777979475847,0.2749956219698836,0.27502130437642336,,"[[29, 3], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.05_04-28_06-44,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.05_04-28_06-44/metrics_20260428_064448_nicme_logit_adjustment.json,results/stop2a_nicme_tuning/configs/038_stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.05.json,38.12091565132141,0.01406,0.01406,1.0,0.0,0.8594,0.8594,4.0,0.02973,0.02969,0.9688,0.8438
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,argmax,0.025,0.0,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.921875,False,True,False,0.021875,0.21875,0.96875,0.03125,0.8857142857142857,0.125,0.921875,0.921875,0.921702960606802,0.021881249999999998,0.943359375,0.9358940798910613,0.5053225919590518,0.31800515400013485,0.2959365490823984,,"[[28, 4], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.025_04-28_06-44,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.025_04-28_06-44/metrics_20260428_064410_nicme_logit_adjustment.json,results/stop2a_nicme_tuning/configs/037_stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.025.json,35.11236572265625,0.02973,0.02969,0.9688,0.03125,0.8438,0.8438,3.0,0.02973,0.02969,0.9688,0.8438
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_logit_adjustment,argmax,0.35,0.0,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.890625,False,True,False,0.025,0.25,0.96875,0.03125,0.8378378378378378,0.1875,0.890625,0.890625,0.8899533284205354,0.02500625,0.9677734375,0.9695743427126642,0.5165628012585295,0.329686784995485,0.27450404688715935,,"[[26, 6], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.35_04-28_06-46,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.35_04-28_06-46/metrics_20260428_064659_nicme_logit_adjustment.json,results/stop2a_nicme_tuning/configs/041_stop2a_tune_breakhis_balanced_prototype_convnext_logit_s0.35.json,43.682228326797485,0.01406,0.01406,1.0,0.0,0.8594,0.8594,5.0,0.01406,0.01406,1.0,0.8594
