phase,dataset,model_family,model_checkpoint,method,decision_mode,nicme_logit_cost_scale,cs_lambda,target_class,class_names,cost_matrix_C_true_pred,target_recall_floor,accuracy_floor,accuracy_floor_metric,floor_accuracy_value,target_recall_floor_met,accuracy_floor_met,all_floors_met,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,confusion_matrix,run,metrics_file,config_file,elapsed_seconds,best_val_selection_score,best_val_normalized_atc,best_val_target_recall,best_val_target_fnr,best_val_accuracy,best_val_balanced_accuracy,best_val_epoch,last_val_selection_score,last_val_normalized_atc,last_val_target_recall,last_val_accuracy
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,argmax,0.025,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.796875,False,False,False,0.0484375,0.484375,0.9375,0.0625,0.7317073170731707,0.34375,0.796875,0.796875,0.7927770859277707,0.055484765624999995,0.923828125,0.9398330733594319,0.6091516100877505,0.4172123911203928,0.23843221925199032,,"[[21, 11], [2, 30]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.025_l0.1_04-28_06-48,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.025_l0.1_04-28_06-48/metrics_20260428_064845_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/043_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.025_l0.1.json,45.4021430015564,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,calibrated_cost_min,0.025,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.923828125,0.9398330733594319,0.5452143164708607,0.35904450750460853,0.18421766474242313,0.5,"[[0, 32], [0, 32]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.025_l0.1_04-28_06-48,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.025_l0.1_04-28_06-48/metrics_20260428_064845_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/043_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.025_l0.1.json,45.4021430015564,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,argmax,0.05,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.796875,False,False,False,0.0484375,0.484375,0.9375,0.0625,0.7317073170731707,0.34375,0.796875,0.796875,0.7927770859277707,0.055484765624999995,0.923828125,0.9398330733594319,0.6091535381514492,0.41721427879409173,0.238432920537889,,"[[21, 11], [2, 30]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.1_04-28_06-49,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.1_04-28_06-49/metrics_20260428_064929_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/044_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.1.json,43.71217441558838,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,calibrated_cost_min,0.05,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.923828125,0.9398330733594319,0.5452176416808214,0.35904757092902273,0.18421895132711755,0.5,"[[0, 32], [0, 32]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.1_04-28_06-49,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.1_04-28_06-49/metrics_20260428_064929_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/044_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.1.json,43.71217441558838,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,argmax,0.05,0.25,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.765625,False,False,False,0.0375,0.375,0.96875,0.03125,0.6888888888888889,0.4375,0.765625,0.765625,0.7555385790679908,0.044625390625,0.927734375,0.9347875251165723,0.6133943688172133,0.4214544764982722,0.20601382106542585,,"[[18, 14], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.25_04-28_06-50,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.25_04-28_06-50/metrics_20260428_065013_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/045_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.25.json,44.68574666976929,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,calibrated_cost_min,0.05,0.25,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.927734375,0.9347875251165723,0.5543926744386611,0.36810294493452006,0.15080237535240604,0.5,"[[0, 32], [0, 32]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.25_04-28_06-50,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.25_04-28_06-50/metrics_20260428_065013_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/045_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.05_l0.25.json,44.68574666976929,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,argmax,0.1,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.796875,False,False,False,0.0484375,0.484375,0.9375,0.0625,0.7317073170731707,0.34375,0.796875,0.796875,0.7927770859277707,0.055484765624999995,0.923828125,0.9398330733594319,0.6091486006113283,0.41720953095587576,0.23842752166092396,,"[[21, 11], [2, 30]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.1_04-28_06-50,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.1_04-28_06-50/metrics_20260428_065056_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/046_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.1.json,43.23335099220276,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,calibrated_cost_min,0.1,0.1,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.923828125,0.9398330733594319,0.5452103932860921,0.35904136938916764,0.18420884477725177,0.5,"[[0, 32], [0, 32]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.1_04-28_06-50,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.1_04-28_06-50/metrics_20260428_065056_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/046_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.1.json,43.23335099220276,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,argmax,0.1,0.25,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.765625,False,False,False,0.0375,0.375,0.96875,0.03125,0.6888888888888889,0.4375,0.765625,0.765625,0.7555385790679908,0.044625390625,0.927734375,0.9347875251165723,0.6133847610080965,0.4214451668487661,0.20600764174014327,,"[[18, 14], [1, 31]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.25_04-28_06-51,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.25_04-28_06-51/metrics_20260428_065144_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/047_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.25.json,47.763184785842896,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
stop2a_nicme_tuning,breakhis_balanced_prototype,convnext,facebook/convnext-tiny-224,nicme_hybrid,calibrated_cost_min,0.1,0.25,malignant,"[""benign"", ""malignant""]","[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.927734375,0.9347875251165723,0.5543769334114361,0.3680887916764924,0.1507910146535555,0.5,"[[0, 32], [0, 32]]",stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.25_04-28_06-51,results/convnext_test/stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.25_04-28_06-51/metrics_20260428_065144_nicme_hybrid.json,results/stop2a_nicme_tuning/configs/047_stop2a_tune_breakhis_balanced_prototype_convnext_hybrid_s0.1_l0.25.json,47.763184785842896,0.01767,0.01719,1.0,0.0,0.8281,0.8281,5.0,0.01767,0.01719,1.0,0.8281
