trial_number,cost_value,objective_class_0_recall,accuracy,balanced_accuracy,f1_score,kappa,auc,loss,recall_class0,expected_cost,prevalence_class0,class_0_accuracy,class_0_precision,class_0_recall,class_0_f1_score,class_0_false_positive_rate,class_0_false_negative_rate,class_0_support,class_1_accuracy,class_1_precision,class_1_recall,class_1_f1_score,class_1_false_positive_rate,class_1_false_negative_rate,class_1_support,cm_0_0,cm_0_1,cm_1_0,cm_1_1
16,1.0,0.94,0.85,0.85,0.8487750781328763,0.7,0.9485333333333333,0.46301910281181335,0.94,0.03,0.5,0.94,0.7966101694915254,0.94,0.8623853211009174,0.24,0.06,150,0.76,0.926829268292683,0.76,0.8351648351648352,0.06,0.24,150,141,9,36,114
1,2.0,0.9466666666666667,0.8766666666666667,0.8766666666666667,0.8760593575185074,0.7533333333333333,0.9555111111111112,0.4629775881767273,0.9466666666666667,0.05333333333333334,0.5,0.9466666666666667,0.8304093567251462,0.9466666666666667,0.8847352024922118,0.19333333333333333,0.05333333333333334,150,0.8066666666666666,0.937984496124031,0.8066666666666666,0.8673835125448028,0.05333333333333334,0.19333333333333333,150,142,8,29,121
8,3.0,0.9666666666666667,0.8466666666666667,0.8466666666666667,0.8444264069264069,0.6933333333333334,0.9510666666666666,0.546994686126709,0.9666666666666667,0.05,0.5,0.9666666666666667,0.7795698924731183,0.9666666666666667,0.8630952380952382,0.2733333333333333,0.03333333333333333,150,0.7266666666666667,0.956140350877193,0.7266666666666667,0.8257575757575757,0.03333333333333333,0.2733333333333333,150,145,5,41,109
15,4.0,0.96,0.8866666666666667,0.8866666666666667,0.8860538898074087,0.7733333333333333,0.9523111111111111,0.6122645139694214,0.96,0.08,0.5,0.96,0.8372093023255814,0.96,0.8944099378881988,0.18666666666666668,0.04,150,0.8133333333333334,0.953125,0.8133333333333334,0.8776978417266187,0.04,0.18666666666666668,150,144,6,28,122
7,5.0,0.9533333333333334,0.8966666666666666,0.8966666666666667,0.8963337829251709,0.7933333333333333,0.9567555555555556,0.5677664279937744,0.9533333333333334,0.11666666666666667,0.5,0.9533333333333334,0.8562874251497006,0.9533333333333334,0.9022082018927444,0.16,0.04666666666666667,150,0.84,0.9473684210526315,0.84,0.8904593639575972,0.04666666666666667,0.16,150,143,7,24,126
9,6.0,0.98,0.8866666666666667,0.8866666666666667,0.8856707317073171,0.7733333333333333,0.9583999999999999,0.5734258890151978,0.98,0.06,0.5,0.98,0.8258426966292135,0.98,0.896341463414634,0.20666666666666667,0.02,150,0.7933333333333333,0.9754098360655737,0.7933333333333333,0.8749999999999999,0.02,0.20666666666666667,150,147,3,31,119
6,7.0,0.9533333333333334,0.87,0.87,0.8690909090909091,0.74,0.9484,0.6509798169136047,0.9533333333333334,0.16333333333333333,0.5,0.9533333333333334,0.8171428571428572,0.9533333333333334,0.88,0.21333333333333335,0.04666666666666667,150,0.7866666666666666,0.944,0.7866666666666666,0.8581818181818182,0.04666666666666667,0.21333333333333335,150,143,7,32,118
12,8.0,0.9466666666666667,0.84,0.84,0.8381586045675238,0.6799999999999999,0.9489777777777778,0.6454084515571594,0.9466666666666667,0.21333333333333335,0.5,0.9466666666666667,0.7802197802197802,0.9466666666666667,0.8554216867469879,0.26666666666666666,0.05333333333333334,150,0.7333333333333333,0.9322033898305084,0.7333333333333333,0.8208955223880597,0.05333333333333334,0.26666666666666666,150,142,8,40,110
2,9.0,0.9666666666666667,0.8733333333333333,0.8733333333333333,0.8722202295552368,0.7466666666666666,0.9562666666666667,0.5688987970352173,0.9666666666666667,0.15,0.5,0.9666666666666667,0.8146067415730337,0.9666666666666667,0.8841463414634146,0.22,0.03333333333333333,150,0.78,0.9590163934426229,0.78,0.8602941176470589,0.03333333333333333,0.22,150,145,5,33,117
11,10.0,0.9733333333333334,0.8666666666666667,0.8666666666666667,0.8651321704729364,0.7333333333333334,0.9556444444444444,0.5862098932266235,0.9733333333333334,0.13333333333333333,0.5,0.9733333333333334,0.8021978021978022,0.9733333333333334,0.8795180722891567,0.24,0.02666666666666667,150,0.76,0.9661016949152542,0.76,0.8507462686567164,0.02666666666666667,0.24,150,146,4,36,114
0,20.0,0.96,0.8333333333333334,0.8333333333333333,0.8306156556303357,0.6666666666666667,0.9439555555555555,0.7419493794441223,0.96,0.4,0.5,0.96,0.7659574468085106,0.96,0.8520710059171598,0.29333333333333333,0.04,150,0.7066666666666667,0.9464285714285714,0.7066666666666667,0.8091603053435114,0.04,0.29333333333333333,150,144,6,44,106
14,30.0,0.94,0.8333333333333334,0.8333333333333333,0.8314152130911707,0.6666666666666667,0.9468888888888889,0.7894378900527954,0.94,0.9,0.5,0.94,0.7747252747252747,0.94,0.8493975903614458,0.2733333333333333,0.06,150,0.7266666666666667,0.923728813559322,0.7266666666666667,0.8134328358208954,0.06,0.2733333333333333,150,141,9,41,109
18,40.0,0.9666666666666667,0.8866666666666667,0.8866666666666667,0.8859366612989801,0.7733333333333333,0.9607555555555556,0.708446741104126,0.9666666666666667,0.6666666666666666,0.5,0.9666666666666667,0.8333333333333334,0.9666666666666667,0.8950617283950617,0.19333333333333333,0.03333333333333333,150,0.8066666666666666,0.9603174603174603,0.8066666666666666,0.8768115942028986,0.03333333333333333,0.19333333333333333,150,145,5,29,121
10,50.0,0.9466666666666667,0.8266666666666667,0.8266666666666667,0.824134199134199,0.6533333333333333,0.9431555555555555,0.8346391916275024,0.9466666666666667,1.3333333333333333,0.5,0.9466666666666667,0.7634408602150538,0.9466666666666667,0.8452380952380953,0.29333333333333333,0.05333333333333334,150,0.7066666666666667,0.9298245614035088,0.7066666666666667,0.8030303030303029,0.05333333333333334,0.29333333333333333,150,142,8,44,106
